3352-87-2	Developmental Toxicity-fetal death mouse
108-31-6	Genetic Toxicity -SCE in vitro; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -E. coli; Genetic Toxicity -SCE in vitro CHO
534-85-0	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS
553-17-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Developmental Toxicity-retardation rat; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
2050-46-6	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
2398-37-0	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
151-10-0	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -E. coli; Developmental Toxicity-post impl. loss rat; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
621-23-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -E. coli; Developmental Toxicity-post impl. loss rat; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
135-77-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Developmental Toxicity-retardation rat; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-fetal death rat; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -chrom. ab. rat; Developmental Toxicity-post impl. loss rodent; Genetic Toxicity -In vitro chrom. ab. CHO; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
150-76-5	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
150-78-7	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Developmental Toxicity-retardation rat; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
622-62-8	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
91-16-7	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -chrom. ab. rat; Genetic Toxicity -yeast
934-00-9	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-fetal death rabbit; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-visceral rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
2174-64-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
94-71-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
122-91-8	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Reproductive Toxicity-carc mouse male; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity-carc mouse female; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -yeast
104-93-8	Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -E. coli; Reproductive Toxicity-carc mouse female; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -yeast
533-31-3	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
90-05-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-fetal death rabbit; Genetic Toxicity -In vitro composite; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -yeast
532-11-6	Genetic Toxicity -SCE in vitro; Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity -repro rodent female; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-pre impl. loss rabbit; Reproductive Toxicity-carc rat; Developmental Toxicity-structural mouse; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Reproductive Toxicity -repro rat female; Genetic Toxicity -yeast
92-84-2	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Developmental Toxicity-visceral mouse; Genetic Toxicity -E. coli; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -yeast
49763-96-4	Reproductive Toxicity-cell transformation; Reproductive Toxicity -repro mouse female; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity -repro rodent female; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss rabbit; Reproductive Toxicity-carc rat; Developmental Toxicity-visceral rat; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-structural rabbit; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-fetal death rodent; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
120-58-1	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-pre impl. loss rabbit; Reproductive Toxicity-carc rat; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
1024-57-3	Reproductive Toxicity -repro rat male; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -drosophila HT; Developmental Toxicity-retardation rat; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent male; Genetic Toxicity -E. coli w; Reproductive Toxicity -repro rodent female; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Reproductive Toxicity -sperm rodent; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity-carc rat male
4584-57-0	Genetic Toxicity -SCE in vitro; Reproductive Toxicity-cell transformation; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-pre impl. loss rabbit; Genetic Toxicity -UDS; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-structural rat; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
106-88-7	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
106-89-8	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Neurotoxicityy-pup behavior mouse; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
26016-98-8	Genetic Toxicity -SCE in vitro; Human Adverse Urinary Effects -nephropathy; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Human Adverse Urinary Effects -urolithiasis; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Reproductive Toxicity- C3H10T1-2; Human Adverse Urinary Effects -kidney function; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
3132-64-7	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
556-52-5	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
67843-74-7	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Reproductive Toxicity -sperm rat; Genetic Toxicity -E. coli; Neurotoxicityy-pup behavior mouse; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
943-41-9	Genetic Toxicity -SCE in vitro; Developmental Toxicity-structural rodent; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Reproductive Toxicity-carc mouse male; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Reproductive Toxicity-carc rat female; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -UDS; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -UDS rat hepatocytes; Developmental Toxicity-visceral rodent; Reproductive Toxicity-carc rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
96-09-3	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
101-90-6	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Genetic Toxicity -micronucleus mouse; Human Adverse Hepatobiliary Effects -jaundice; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
122-60-1	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -chrom. ab.; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
138-89-6	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Genetic Toxicity -SCE in vitro CHO; Neurotoxicityy-pup behavior rodent; Genetic Toxicity -micronucleus mouse; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
2210-79-9	Genetic Toxicity -SCE in vitro; Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -UDS human lymphocytes; Genetic Toxicity -salmonella; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Genetic Toxicity -In vitro chrom. ab. CHL; Genetic Toxicity -E. coli; Genetic Toxicity -In vitro composite; Genetic Toxicity -E. coli w; Genetic Toxicity -hgprt; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Human Adverse Hepatobiliary Effects -jaundice; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Genetic Toxicity -In vitro chrom. ab. CHO; Genetic Toxicity -yeast
