253128-41-5	Microtubule Inhibitors
364-98-7	Sodium Chloride Symporter Inhibitors
482-15-5	Antipruritics; Histamine Antagonists
59-66-5	Anticonvulsants; Carbonic Anhydrase Inhibitors; Diuretics
437-38-7	Adjuvants; Adjuvants, Anesthesia; Analgesics, Opioid; Anesthetics, Intravenous; Narcotics
25614-03-3	Antidyskinetics; Antiparkinson Agents; Dopamine Agonists; Hormone Antagonists
28721-07-5	Anticonvulsants
29342-05-0	Antifungal Agents
105462-24-6	Antihypocalcemic Agents; Antiresorptives; Bisphosphonates; Bone Density Conservation Agents; Calcium Channel Blockers
54-36-4	Antimetabolites; Enzyme Inhibitors
129722-12-9	Antipsychotic Agents
2259-96-3	Antihypertensive Agents; Diuretics
71486-22-1	Antineoplastic Agents, Phytogenic
58-14-0	Antimalarials; Antiprotozoal Agents; Folic Acid Antagonists
146-54-3	Antipsychotic Agents
117467-28-4	Anti-Bacterial Agents; Cephalosporins
54-42-2	Antiviral Agents; Nucleic Acid Synthesis Inhibitors
117-10-2	Cathartics; Mutagens
87-33-2	Nitric Oxide Donors; Vasodilator Agents
77-92-9	Anticoagulants; Chelating Agents
40034-42-2	Anti-Infective Agents
170277-31-3	Anti-Inflammatory Agents, Non-Steroidal; Antirheumatic Agents; Dermatologic Agents; Gastrointestinal Agents; Immunosuppressive Agents
57-66-9	Adjuvants, Pharmaceutic; Uricosuric Agents
60-99-1	Analgesics, Non-Narcotic; Antipsychotic Agents; Dopamine Antagonists
58-89-9	Antiscabies Agents; Insecticides
38821-53-3	Anti-Bacterial Agents; Cephalosporins
4394-00-7	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
50-76-0	Anti-Bacterial Agents; Antibiotics; Antibiotics, Antineoplastic; Nucleic Acid Synthesis Inhibitors; Protein Synthesis Inhibitors
166663-25-8	Antifungal Agents
6493-05-6	Free Radical Scavengers; Hematologic Agents; Hemorrheologic Agents; Phosphodiesterase Inhibitors; Platelet Aggregation Inhibitors; Radiation-Protective Agents; Vasodilator Agents
113775-47-6	Adrenergic alpha-2 Receptor Agonists; Analgesics, Non-Narcotic; Hypnotics and Sedatives
70-00-8	Antimetabolites; Antiviral Agents
131069-91-5	Contrast Media
154-42-7	Antimetabolites, Antineoplastic
61379-65-5	Antibiotics, Antitubercular; Antimycobacterials; Leprostatic Agents
16051-77-7	Nitric Oxide Donors; Vasodilator Agents
98-96-4	Antitubercular Agents
915087-33-1	Antineoplastic Agents
19387-91-8	Anti-Infective Agents; Antiprotozoal Agents
37148-27-9	Adrenergic beta-Agonists; Bronchodilator Agents; Sympathomimetics
42408-82-2	Analgesics, Opioid; Antitussive Agents; Narcotic Antagonists; Narcotics
127-07-1	Antineoplastic Agents; Antisickling Agents; Enzyme Inhibitors; Nucleic Acid Synthesis Inhibitors
59729-33-8	Antidepressive Agents; Antidepressive Agents, Second-Generation; Serotonin Uptake Inhibitors
145155-23-3	Adjuvants, Immunologic; Immunosuppressive Agents
50847-11-5	Bronchodilator Agents; Phosphodiesterase Inhibitors; Platelet Aggregation Inhibitors; Vasodilator Agents
25301-02-4	Detergents; Surface-Active Agents
53-86-1	Anti-Inflammatory Agents, Non-Steroidal; Cardiovascular Agents; Cyclooxygenase Inhibitors; Gout Suppressants; Tocolytic Agents
62666-20-0	Anticonvulsants; Antidepressive Agents; Antidyskinetics; Antiparkinson Agents; GABA Agonists
706808-37-9	Antirheumatic Agents; Immunosuppressive Agents
59-63-2	Antidepressive Agents; Monoamine Oxidase Inhibitors
83799-24-0	Anti-Allergic Agents; Histamine Antagonists; Histamine H1 Antagonists, Non-Sedating
57-42-1	Adjuvants
55268-75-2	Anti-Bacterial Agents; Cephalosporins
120511-73-1	Antineoplastic Agents, Hormonal; Aromatase Inhibitors
913976-27-9	Colony-Stimulating Factors; Hematopoietic Agents
58-40-2	Antiemetics; Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
137071-32-0	Anti-Inflammatory Agents, Non-Steroidal; Dermatologic Agents; Immunosuppressive Agents
1841-19-6	Antipsychotic Agents; Dopamine Antagonists
34097-16-0	Corticosteroids
13838-16-9	Anesthetics; Anesthetics, Inhalation
18559-94-9	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Tocolytic Agents
58-55-9	Bronchodilator Agents; Muscle Relaxants, Respiratory; Phosphodiesterase Inhibitors; Purinergic P1 Receptor Antagonists; Vasodilator Agents
64-86-8	Gout Suppressants; Tubulin Modulators
1131-64-2	Adrenergic Agents; Antihypertensive Agents; Sympatholytics
28911-01-5	Adjuvants, Anesthesia; Anti-Anxiety Agents; Benzodiazepines; GABA Modulators
3056-17-5	Anti-HIV Agents; Antimetabolites; Reverse Transcriptase Inhibitors
76-99-3	Analgesics, Opioid; Antitussive Agents; Narcotics
11056-06-7	Antibiotics, Antineoplastic
69756-53-2	Antimalarials; Antiprotozoal Agents
135062-02-1	Antidiabetic Agents; Hypoglycemic Agents; Meglitinides
56420-45-2	Antibiotics, Antineoplastic
117-89-5	Antiemetics; Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
80621-81-4	Anti-Infective Agents; Gastrointestinal Agents
81103-11-9	Anti-Bacterial Agents; Macrolides; Protein Synthesis Inhibitors
135-07-9	Sodium Chloride Symporter Inhibitors
13655-52-2	Adrenergic beta-Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympatholytics
22232-54-8	Antithyroid Agents
380610-27-5	Monoclonal antibodies
33069-62-4	Antineoplastic Agents, Phytogenic; Tubulin Modulators
67-68-5	Cryoprotective Agents; Free Radical Scavengers; Solvents
34368-04-2	Adrenergic beta-1 Receptor Agonists; Cardiotonic Agents; Sympathomimetics
5633-20-5	Antispasmodics; Cholinergic Antagonists; Muscarinic Antagonists; Muscle Relaxants, Genitourinary; Parasympatholytics
93390-81-9	Anticonvulsants
73771-04-7	Anti-Inflammatory Agents; Corticosteroids; Steroids
67-45-8	Anti-Infective Agents, Local; Anti-Infective Agents, Urinary; Antitrichomonal Agents; Monoamine Oxidase Inhibitors
112811-59-3	Antibiotics; Quinolones
518048-05-0	Anti-HIV Agents
14611-51-9	Antidyskinetics; Antiparkinson Agents; Dopaminergics; Monoamine Oxidase Inhibitors; Neuroprotective Agents
784209-05-8	Antineoplastic Agents; Topoisomerase II Inhibitors
70458-96-7	Anti-Infective Agents; Quinolones
210589-09-6	Enzyme Replacement Agents
141388-76-3	Antibiotics; Quinolones
37350-58-6	Adrenergic beta-1 Receptor Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympatholytics
723-46-6	Anti-Infective Agents; Sulfonamides
37025-55-1	Anti-tocolytic Agents; Delayed-Action Preparations; Labor Induction Agents; Oxytocics
91374-21-9	Antidyskinetics; Antiparkinson Agents; Dopamine Agonists
69-65-8	Diuretics, Osmotic; Sweetening Agents
428863-50-7	TNF inhibitor
672-87-7	Enzyme Inhibitors
27848-84-6	Adrenergic alpha-Antagonists; Nootropic Agents; Vasodilator Agents
9015-68-3	Antineoplastic Agents
4618-18-2	Gastrointestinal Agents
114798-26-4	Angiotensin II Type 1 Receptor Blockers; Angiotensin Receptor Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents
51025-85-5	Aminoglycosides; Anti-Infective Agents; Antibiotics
191114-48-4	Ketolides
58-08-2	Appetite Depressants; Central Nervous System Stimulants; Phosphodiesterase Inhibitors; Purinergic P1 Receptor Antagonists
66-76-2	Anticoagulants; Enzyme Inhibitors; Uncoupling Agents
86386-73-4	Antifungal Agents
53643-48-4	Antineoplastic Agents, Phytogenic; Tubulin Modulators
85622-93-1	Antineoplastic Agents, Alkylating
9002-68-0	Fertility Agents
7487-88-9	Analgesics; Anesthetics; Anti-Arrhythmia Agents; Anticonvulsants; Calcium Channel Blockers; Tocolytic Agents
216974-75-3	Angiogenesis Inhibitors
6735-59-7	Cholinesterase Reactivators
72-14-0	Anti-Infective Agents
12650-69-0	Anti-Bacterial Agents; Antibiotics; Protein Synthesis Inhibitors
64952-97-2	Anti-Bacterial Agents; Cephalosporins
104-29-0	Muscle Relaxants, Central
34031-32-8	Antirheumatic Agents
486-16-8	Histamine Antagonists; Histamine H1 Antagonists
157283-68-6	Anti-glaucoma Agents; Ophthalmics; Prostaglandins, Synthetic
53-16-7	Anti-menopausal Agents; Estrogens
145258-61-3	Antineoplastic Agents; Antiviral Agents; Immunologic Factors; Immunosuppressive Agents
846-50-4	Benzodiazepines
17560-51-9	Antihypertensive Agents; Diuretics; Sodium Chloride Symporter Inhibitors
91832-40-5	Anti-Bacterial Agents; Anti-Infective Agents; Cephalosporins
117-96-4	Contrast Media
93957-54-1	Hydroxymethylglutaryl-CoA Reductase Inhibitors
163222-33-1	Cholesterol Absorption Inhibitors
70458-92-3	Anti-Infective Agents; Nucleic Acid Synthesis Inhibitors
86-35-1	Anticonvulsants
76-58-4	Analgesics, Opioid; Antitussive Agents; Narcotics
173146-27-5	Antineoplastic Agents
106650-56-0	Antidepressive Agents; Appetite Depressants; Stimulants
121-75-5	Cholinesterase Inhibitors; Insecticides
1181-54-0	Tetracyclines
132-22-9	Histamine Antagonists; Histamine H1 Antagonists
269055-15-4	Reverse Transcriptase Inhibitors
51781-06-7	Adrenergic beta-Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympatholytics
58581-89-8	Anti-Allergic Agents; Bronchodilator Agents; Histamine H1 Antagonists, Non-Sedating; Lipoxygenase Inhibitors
144-11-6	Antidyskinetics; Antiparkinson Agents; Muscarinic Antagonists
68401-81-0	Anti-Bacterial Agents; Cephalosporins
145941-26-0	Antineoplastic Agents; Coagulants; Thrombotic Agents
9002-01-1	Fibrinolytic Agents; Thrombolytic Agents
14028-44-5	Adrenergic Uptake Inhibitors; Antidepressive Agents, Second-Generation; Dopamine Antagonists; Neurotransmitter Uptake Inhibitors; Serotonin Uptake Inhibitors
79617-96-2	Antidepressive Agents; Serotonin Uptake Inhibitors
134308-13-7	Antidyskinetics
69655-05-6	Anti-HIV Agents; Antimetabolites; Reverse Transcriptase Inhibitors
7261-97-4	Muscle Relaxants, Central
420784-05-0	Enzyme Replacement Agents
147245-92-9	Adjuvants, Immunologic; Immunosuppressive Agents
21187-98-4	Antidiabetic Agents; Hypoglycemic Agents
390-28-3	Adrenergic alpha-1 Receptor Agonists; Sympathomimetics; Vasoconstrictor Agents
102625-70-7	Anti-Ulcer Agents; Proton Pump Inhibitors
146479-72-3	Fertility Agents
81846-19-7	Anticoagulants; Antithrombins
6190-39-2	Analgesics, Non-Narcotic; Anti-migraine Agents; Dopamine Agonists; Vasoconstrictor Agents
611168-24-2	Ammonia Detoxicants
50-33-9	Anti-Inflammatory Agents, Non-Steroidal
500-38-9	Antineoplastic Agents; Antioxidants; Cyclooxygenase Inhibitors; Lipoxygenase Inhibitors
58-15-1	Pyrazolones
cas	category
657-24-9	Antidiabetic Agents
222535-22-0	Dermatologic Agents; Immunosuppressive Agents
721-50-6	Anesthetics, Local
4205-90-7	Adrenergic alpha-2 Receptor Agonists; Analgesics; Antihypertensive Agents; Sympatholytics
56030-54-7	Adjuvants, Anesthesia; Analgesics, Opioid; Anesthetics, Intravenous; Narcotics
31883-05-3	Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
59-92-7	Antidyskinetics; Antiparkinson Agents; Dopamine Agents
115256-11-6	Anti-Arrhythmia Agents; Potassium Channel Blockers
615258-40-7	Bone Density Conservation Agents; Monoclonal antibodies
147059-72-1	Anti-Infective Agents; Fluoroquinolones; Quinolones
10206-21-0	Anti-Bacterial Agents; Cephalosporins
52485-79-7	Analgesics, Opioid; Narcotic Antagonists; Narcotics
155206-00-1	Anti-glaucoma Agents
50-56-6	Anti-tocolytic Agents; Labor Induction Agents; Oxytocics
60628-96-8	Antifungal Agents
52468-60-7	Anticonvulsants; Calcium Channel Blockers; Histamine H1 Antagonists; Vasodilator Agents
21593-23-7	Anti-Bacterial Agents; Cephalosporins
362-29-8	Antiemetics; Histamine Antagonists; Hypnotics and Sedatives
29122-68-7	Adrenergic beta-1 Receptor Antagonists; Anti-Arrhythmia Agents; Antihypertensive Agents; Sympatholytics
89778-26-7	Antineoplastic Agents, Hormonal; Bone Density Conservation Agents; Selective Estrogen Receptor Modulators
146939-27-7	Antipsychotic Agents
70797-11-4	Anti-Bacterial Agents; Cephalosporins
106685-40-9	Anti-Inflammatory Agents, Non-Steroidal; Dermatologic Agents
565451-13-0	Anti-Infective Agents; Monoclonal antibodies
286930-03-8	Anti-Incontinence Agents; Antispasmodics; Muscarinic Antagonists; Muscle Relaxants, Genitourinary
30516-87-1	Anti-HIV Agents; Antimetabolites; Reverse Transcriptase Inhibitors
133099-04-4	Antispasmodic Agents
214745-43-4	Immunosuppressive Agents
60-80-0	Anti-Inflammatory Agents, Non-Steroidal
107724-20-9	Mineralocorticoid Receptor Antagonists
100427-26-7	Antihypertensive Agents; Calcium Channel Blockers
77-41-8	Anticonvulsants; Succinimides
133107-64-9	Antidiabetic Agents; Hypoglycemic Agents
14636-12-5	Antihypertensive Agents; Vasoconstrictor Agents
61270-58-4	Anti-Bacterial Agents; Cephalosporins
5786-21-0	Antipsychotic Agents; GABA Antagonists; Serotonin Antagonists
111974-69-7	Antipsychotic Agents
120993-53-5	Antithrombins; Fibrinolytic Agents
147-52-4	Anti-Bacterial Agents; Penicillins
144-80-9	Anti-Infective Agents, Local; Anti-Infective Agents, Urinary; Sulfonamides
147536-97-8	Antihypertensive Agents
147-20-6	Histamine Antagonists
28523-86-6	Anesthetics, Inhalation; Platelet Aggregation Inhibitors
153-61-7	Anti-Bacterial Agents; Cephalosporins
124-94-7	Anti-Inflammatory Agents; Glucocorticoids
1491-59-4	Adrenergic alpha-Agonists; Nasal Decongestants; Sympathomimetics
64-17-5	Anti-Infective Agents, Local; Central Nervous System Depressants; Solvents
41708-72-9	Anti-Arrhythmia Agents; Sodium Channel Blockers; Voltage-Gated Sodium Channel Blockers
397864-44-7	Corticosteroids
128-13-2	Cholagogues and Choleretics
13392-18-2	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Sympathomimetics; Tocolytic Agents
119413-54-6	Topoisomerase I Inhibitors
518-28-5	Antimitotic Agents; Antineoplastic Agents, Phytogenic; Keratolytic Agents; Tubulin Modulators
19171-19-8	Immunosuppressive Agents
911-45-5	Estrogen Antagonists; Fertility Agents, Female; Selective Estrogen Receptor Modulators
61-32-5	Anti-Bacterial Agents; Penicillins
27223-35-4	Benzodiazepines
123-99-9	Antineoplastic Agents; Dermatologic Agents
78415-72-2	Cardiotonic Agents; Phosphodiesterase 3 Inhibitors; Platelet Aggregation Inhibitors; Vasodilator Agents
68-19-9	Anti-anemic Agents; Vitamin B Complex; Vitamins
22199-08-2	Anti-Bacterial Agents; Anti-Infective Agents, Local; Antibiotics, Topical; Sulfonamides
50-55-5	Adrenergic Antagonists; Adrenergic Uptake Inhibitors; Antihypertensive Agents; Antipsychotic Agents
59-46-1	Anesthetics, Local
466-99-9	Analgesics, Opioid; Narcotics
224452-66-8	Anti-Bacterial Agents
89365-50-4	Adrenergic beta-2 Receptor Agonists; Bronchodilator Agents; Sympathomimetics
60719-84-8	Calcium Channel Blockers; Cardiotonic Agents; Phosphodiesterase 3 Inhibitors; Vasodilator Agents
66734-13-2	Antipruritics; Corticosteroids
514-65-8	Antidyskinetics; Antiparkinson Agents; Muscarinic Antagonists; Parasympatholytics
19216-56-9	Adrenergic alpha-1 Receptor Antagonists; Adrenergic alpha-Antagonists; Antihypertensive Agents
19356-17-3	Antihypocalcemic Agents; Antithyroid Agents; Bone Density Conservation Agents; Vitamin D; Vitamins
496775-61-2	Thrombopoietic Agents
107868-30-4	Antineoplastic Agents; Aromatase Inhibitors
19794-93-5	Anti-Anxiety Agents; Antidepressive Agents, Second-Generation; Serotonin Uptake Inhibitors
91-81-6	Anti-Allergic Agents; Histamine Antagonists
152-47-6	Anti-Infective Agents; Anti-Infective Agents, Urinary; Antimalarials
79-57-2	Tetracyclines
738-70-5	Anti-Infective Agents
16110-51-3	Anti-Asthmatic Agents
63675-72-9	Antihypertensive Agents; Calcium Channel Blockers; Vasodilator Agents
7648-98-8	Anti-Arrhythmia Agents; Antimyasthenic Agents
668270-12-0	Antidiabetic Agents; Dipeptidyl-Peptidase IV Inhibitors
81669-57-0	Fibrinolytic Agents; Thrombolytic Agents
303-53-7	Muscle Relaxants, Skeletal; Neuromuscular Agents; Tranquilizing Agents
51-34-3	Adjuvants; Antispasmodics; Muscarinic Antagonists
59803-98-4	Adrenergic alpha-2 Receptor Agonists; Antihypertensive Agents; EENT Preparations
133163-28-7	Adrenergic alpha-1 Receptor Agonists; Sympathomimetics; Vasoconstrictor Agents
183133-96-2	Antineoplastic Agents
84057-95-4	Anesthetics, Local
249296-44-4	Nicotinic Agonists
13311-84-7	Androgen Antagonists; Antineoplastic Agents, Hormonal
206361-99-1	HIV Protease Inhibitors
242138-07-4	Anti-Allergic Agents; Anti-Asthmatic Agents; Immunosuppressive Agents
150683-30-0	Vasopressin receptor antagonists
41372-20-7	Antidyskinetics; Antiparkinson Agents; Dopamine Agonists
123441-03-2	Cholinergic Agents; Cholinesterase Inhibitors; Neuroprotective Agents
6621-47-2	Calcium Channel Blockers; Cardiovascular Agents; Vasodilator Agents
58-73-1	Anesthetics, Local; Anti-Allergic Agents; Antidyskinetics; Antiemetics; Antitussive Agents; Histamine H1 Antagonists; Hypnotics and Sedatives
1972-08-3	Analgesics, Non-Narcotic; Cannabinoid Receptor Agonists; Hallucinogens; Psychotropic Drugs
42924-53-8	Cyclooxygenase 2 Inhibitors
86-22-6	Anti-Allergic Agents; Histamine H1 Antagonists
72324-18-6	Antiviral Agents; Expectorants; Immunosuppressive Agents
361442-04-8	Antidiabetic Agents; Dipeptidyl-Peptidase IV Inhibitors
36894-69-6	Adrenergic alpha-1 Receptor Antagonists; Adrenergic beta-Antagonists; Antihypertensive Agents; Sympathomimetics
36505-84-7	Anti-Anxiety Agents; Hypnotics and Sedatives; Serotonin Receptor Agonists
53179-11-6	Antidiarrheals
53230-10-7	Antimalarials
7554-65-6	Antidotes
24166-13-0	Benzodiazepines; Hypnotics and Sedatives; Neuromuscular Agents
99-43-4	Anesthetics, Local
364-62-5	Antiemetics; Dopamine Antagonists; Prokinetic Agents
66711-21-5	Adrenergic alpha-2 Receptor Agonists; Anti-glaucoma Agents; EENT Preparations; Ophthalmics
38304-91-5	Antihypertensive Agents; Vasodilator Agents
72599-27-0	Enzyme Inhibitors
20830-75-5	Anti-Arrhythmia Agents; Cardiotonic Agents; Enzyme Inhibitors
121181-53-1	Antineutropenic Agents; Hematopoietic Agents; Immunosuppressive Agents
153832-46-3	Anti-Bacterial Agents
303-49-1	Antidepressive Agents, Tricyclic; Serotonin Uptake Inhibitors
119478-56-7	Anti-Bacterial Agents
2030-63-9	Anti-Inflammatory Agents, Non-Steroidal; Antimycobacterials; Coloring Agents; Dyes; Leprostatic Agents
192939-46-1	Antithrombins
16960-16-0	Diagnostic Agents; Hormones
923604-59-5	Protease Inhibitors
2272-11-9	Sclerosing Solutions
77-19-0	Antispasmodics; Cholinergic Antagonists; Muscarinic Antagonists; Parasympatholytics
30652-11-0	Chelating Agents; Iron Chelating Agents
1403-66-3	Aminoglycosides
66085-59-4	Antihypertensive Agents; Calcium Channel Blockers; Vasodilator Agents
50-44-2	Antimetabolites; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Nucleic Acid Synthesis Inhibitors; Purine analogues
198153-51-4	Immunosuppressive Agents
91-75-8	Anti-Allergic Agents; Histamine Antagonists; Histamine H1 Antagonists
171099-57-3	Anti-Bacterial Agents
143653-53-6	Anticoagulants; Platelet Aggregation Inhibitors
60-79-7	Oxytocics
22232-71-9	Adrenergic Uptake Inhibitors; Central Nervous System Stimulants; Dopamine Uptake Inhibitors
56-53-1	Carcinogens; Estrogens, Non-Steroidal
2622-26-6	Phenothiazines
1405-20-5	Anti-Bacterial Agents
120287-85-6	Fertility Agents; Hormone Antagonists
77-67-8	Anticonvulsants; Succinimides
96-88-8	Anesthetics, Local
54-71-7	Cholinergic Agents
127-79-7	Sulfonamides
78-44-4	Muscle Relaxants, Central; Muscle Relaxants, Skeletal; Neuromuscular Agents
10118-90-8	Anti-Bacterial Agents; Tetracyclines
40828-46-4	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
169148-63-4	Antidiabetic Agents
57-68-1	Sulfonamides
61825-94-3	Antineoplastic Agents
26171-23-3	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
123318-82-1	Purine analogues
191732-72-6	Antineoplastic Agents
73-22-3	Amino Acids, Essential; Antidepressive Agents, Second-Generation; Dietary Supplements; Micronutrients; Supplements
53-03-2	Anti-Inflammatory Agents; Antineoplastic Agents, Hormonal; Glucocorticoids
24280-93-1	Antibiotics, Antineoplastic; Enzyme Inhibitors
29110-47-2	Adrenergic alpha-2 Receptor Agonists; Antihypertensive Agents
526-36-3	Nasal Decongestants
4910-46-7	Mast Cell Stabilizers
9005-49-6	Anticoagulants; Fibrinolytic Agents; Heparins
28981-97-7	Anti-Anxiety Agents; Benzodiazepines; GABA Modulators; Hypnotics and Sedatives
99614-02-5	Antipsychotic Agents
138402-11-6	Angiotensin II Type 1 Receptor Blockers; Angiotensin Receptor Antagonists; Antihypertensive Agents
138071-82-6	Contrast Media
22916-47-8	14-alpha Demethylase Inhibitors; Antifungal Agents
83869-56-1	Immunosuppressive Agents
91161-71-6	Antifungal Agents
2062-78-4	Anti-Dyskinesia Agents; Antipsychotic Agents; Dopamine Antagonists
86541-75-5	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
2709-56-0	Antipsychotic Agents; Dopamine Antagonists; Thioxanthenes
80012-43-7	Histamine Antagonists; Histamine H1 Antagonists; Ophthalmics
73963-72-1	Bronchodilator Agents; Fibrinolytic Agents; Neuroprotective Agents; Phosphodiesterase 3 Inhibitors; Platelet Aggregation Inhibitors; Vasodilator Agents
50-12-4	Anticonvulsants
57041-67-5	Anesthetics, Inhalation
35121-78-9	Antihypertensive Agents; Platelet Aggregation Inhibitors
82248-59-7	Adrenergic Uptake Inhibitors; Antidepressive Agents
16679-58-6	Antidiuretic Agents; Hemostatics; Renal Agents
470-82-6	Anti-Infective Agents; Solvents
154-93-8	Antineoplastic Agents, Alkylating
439-14-5	Adjuvants, Anesthesia; Anesthetics, Intravenous; Anti-Anxiety Agents; Anticonvulsants; Antiemetics; GABA Modulators; Hypnotics and Sedatives; Muscle Relaxants, Central
53910-25-1	Adenosine Deaminase Inhibitors; Antibiotics; Antineoplastic Agents
51-06-9	Anti-Arrhythmia Agents
50-52-2	Antipsychotic Agents; Dopamine Antagonists; Phenothiazines
55079-83-9	Keratolytic Agents
83366-66-9	Antidepressive Agents; Antidepressive Agents, Second-Generation
64872-77-1	Antifungal Agents
33342-05-1	Antidiabetic Agents
59865-13-3	Antifungal Agents; Antirheumatic Agents; Dermatologic Agents; Enzyme Inhibitors; Immunosuppressive Agents
152-72-7	Anticoagulants
111902-57-9	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
284461-73-0	Antineoplastic Agents
57-96-5	Uricosuric Agents
6673-35-4	Adrenergic beta-1 Receptor Antagonists; Anti-Arrhythmia Agents
84-17-3	Estrogens, Non-Steroidal
60925-61-3	Anti-Bacterial Agents; Cephalosporins
13292-46-1	Antibiotics; Antibiotics, Antitubercular; Antitubercular Agents; Enzyme Inhibitors; Leprostatic Agents; Nucleic Acid Synthesis Inhibitors
5638-76-6	Antiemetics
36791-04-5	Antimetabolites; Antiviral Agents
564-25-0	Anti-Bacterial Agents; Antimalarials; Tetracyclines
114-86-3	Hypoglycemic Agents
67227-57-0	Antihypertensive Agents; Dopamine Agonists; Vasodilator Agents
486460-32-6	Dipeptidyl-Peptidase IV Inhibitors
36322-90-4	Anti-Inflammatory Agents, Non-Steroidal; Cyclooxygenase Inhibitors
2627-69-2	Cardiovascular Agents
94-09-7	Anesthetics, Local
104138-64-9	Enzyme Replacement Agents
1405-97-6	Anti-Bacterial Agents; Anti-Infective Agents; Antibiotics; Antibiotics, Topical
58-61-7	Analgesics; Anti-Arrhythmia Agents; Cardiovascular Agents; Vasodilator Agents
356547-88-1	Monoclonal antibodies
90-34-6	Antimalarials
138729-47-2	Hypnotics and Sedatives
134774-45-1	Antihyperuricemic Agents; Gout Suppressants
57-47-6	Cholinesterase Inhibitors; Miotics
90-89-1	Filaricides; Lipoxygenase Inhibitors
66592-87-8	Anti-Bacterial Agents; Cephalosporins
474-25-9	Cathartics; Gastrointestinal Agents
93479-97-1	Anti-Arrhythmia Agents; Antidiabetic Agents; Hypoglycemic Agents; Immunosuppressive Agents
205923-56-4	Antineoplastic Agents
51-55-8	Adjuvants, Anesthesia; Anti-Arrhythmia Agents; Bronchodilator Agents; Muscarinic Antagonists; Mydriatics; Parasympatholytics
23155-02-4	Anti-Bacterial Agents
57-83-0	Contraceptive Agents; Progestins
65085-01-0	Anti-Bacterial Agents; Cephalosporins
56-75-7	Anti-Bacterial Agents; Protein Synthesis Inhibitors
10238-21-8	Anti-Arrhythmia Agents; Antidiabetic Agents; Hypoglycemic Agents
43200-80-2	Hypnotics and Sedatives
118390-30-0	Antiviral Agents; Immunosuppressive Agents
34580-14-8	Anti-Allergic Agents; Antipruritics; Histamine H1 Antagonists
62571-86-2	Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents
145202-66-0	Anti-migraine Agents; Serotonin Antagonists; Serotonin Receptor Agonists
108-95-2	Anti-Infective Agents, Local; Antipsoriatic Agents; Disinfectants; Sclerosing Solutions
426-13-1	Anti-Allergic Agents; Anti-Inflammatory Agents; Glucocorticoids
60643-86-9	Anticonvulsants; Enzyme Inhibitors; GABA Agents
363-24-6	Oxytocics; Prostaglandins
274693-27-5	Platelet Aggregation Inhibitors
9002-92-0	Detergents; Sclerosing Solutions
66258-76-2	Anti-Bacterial Agents; Penicillins
76932-56-4	Antiendometriotic agent; Gonadotropin-releasing hormone agonist
865-21-4	Antineoplastic Agents, Phytogenic; Tubulin Modulators
50-14-6	Antihypocalcemic Agents; Antithyroid Agents; Bone Density Conservation Agents; Vitamin D; Vitamins
103-16-2	Dermatologic Agents
2998-57-4	Antineoplastic Agents, Alkylating; Antineoplastic Agents, Hormonal
226700-79-4	Prodrugs
4008-48-4	Anti-Infective Agents, Urinary; Antifungal Agents
139110-80-8	Antiviral Agents; Enzyme Inhibitors
443-48-1	Anti-Infective Agents; Antiprotozoal Agents; Radiation-Sensitizing Agents
81098-60-4	Prokinetic Agents; Serotonin Receptor Agonists
75695-93-1	Antihypertensive Agents; Calcium Channel Blockers; Vasodilator Agents
37640-71-4	Anti-Arrhythmia Agents; Voltage-Gated Sodium Channel Blockers
1508-75-4	Diagnostic Agents; Muscarinic Antagonists; Mydriatics
25990-43-6	Cholinergic Antagonists
536-33-4	Antitubercular Agents; Fatty Acid Synthesis Inhibitors
50-36-2	Anesthetics, Local; Dopamine Uptake Inhibitors; Vasoconstrictor Agents
17598-65-1	Anti-Arrhythmia Agents; Cardiotonic Agents; Enzyme Inhibitors
9002-71-5	Diagnostic Agents
53-43-0	Adjuvants, Immunologic
17650-98-5	Diagnostic Agents
300-62-9	Adrenergic Agents; Adrenergic Uptake Inhibitors; Amphetamines; Central Nervous System Stimulants; Dopamine Agents; Dopamine Uptake Inhibitors; Sympathomimetics
134678-17-4	Anti-HIV Agents; Reverse Transcriptase Inhibitors
97240-79-4	Anti-Obesity Agents; Anticonvulsants; Neuroprotective Agents
37091-66-0	Anti-Bacterial Agents; Penicillins
115-38-8	Anticonvulsants; GABA Modulators; Hypnotics and Sedatives
33419-42-0	Antineoplastic Agents, Phytogenic
