87333-19-5	Heterocyclic Compounds, Bridged-Ring
59-46-1	Carboxylic Acids
55-98-1	Alcohols
7081-53-0	Heterocyclic Compounds, 1-Ring
59277-89-3	Heterocyclic Compounds, 2-Ring
58186-27-9	Quinones
85721-33-1	Heterocyclic Compounds, 2-Ring
91032-37-0	Carbohydrates
154-42-7	Heterocyclic Compounds, 2-Ring
2280-32-2	Carbohydrates
22601-59-8	Peptides
103628-48-4	Amides
303-49-1	Heterocyclic Compounds, 3-Ring
81-25-4	Steroids
21256-18-8	Carboxylic Acids
91032-38-1	Carbohydrates
148-82-3	Hydrocarbons
58-40-2	Heterocyclic Compounds, 3-Ring
94-58-6	Heterocyclic Compounds, 1-Ring
134678-17-4	Nucleosides
357-08-4	Alkaloids
59-33-6	Heterocyclic Compounds, 1-Ring
121-54-0	Amines
105826-92-4	Heterocyclic Compounds, 1-Ring
60-54-8	Polycyclic Hydrocarbons, Aromatic
131086-21-0	Nucleosides
51803-78-2	Amides
73590-58-6	Heterocyclic Compounds, 2-Ring
71-27-2	Amines
152-11-4	Amines
117976-89-3	Heterocyclic Compounds, 2-Ring
65277-42-1	Heterocyclic Compounds, 1-Ring
57-63-6	Steroids
8017-52-5	Heterocyclic Compounds, 1-Ring
637-58-1	Heterocyclic Compounds, 1-Ring
107910-75-8	Heterocyclic Compounds, 2-Ring
6591-49-7	Polycyclic Hydrocarbons, Aromatic
64211-45-6	Heterocyclic Compounds, 1-Ring
122742-25-0	Steroids
116002-70-1	Heterocyclic Compounds, 1-Ring
2068-78-2	Alkaloids
77-67-8	Heterocyclic Compounds, 1-Ring
41354-29-4	Heterocyclic Compounds, 1-Ring
912-60-7	Alkaloids
59-88-1	Hydrazines
24729-96-2	Carbohydrates
23214-92-8	Carbohydrates
496-67-3	Urea
119478-56-7	Amides
155141-29-0	Heterocyclic Compounds, 1-Ring
81098-60-4	Amides
143-75-9	Heterocyclic Compounds, 1-Ring
54-85-3	Hydrazines
70024-40-7	Heterocyclic Compounds, 2-Ring
361-09-1	Steroids
7554-65-6	Heterocyclic Compounds, 1-Ring
404-86-4	Carboxylic Acids
51-43-4	Amines
39562-70-4	Heterocyclic Compounds, 1-Ring
63675-72-9	Heterocyclic Compounds, 1-Ring
57-96-5	Heterocyclic Compounds, 1-Ring
71320-77-9	Amides
53179-09-2	Carbohydrates
70288-86-7	Carbohydrates
23981-47-7	Polycyclic Hydrocarbons, Aromatic
35658-65-2	Cadmium Compounds
55142-85-3	Heterocyclic Compounds, 1-Ring
57-33-0	Heterocyclic Compounds, 1-Ring
91032-36-9	Carbohydrates
64211-46-7	Heterocyclic Compounds, 1-Ring
103628-47-3	Amides
1421-15-4	Heterocyclic Compounds, 1-Ring
33386-08-2	Heterocyclic Compounds, 1-Ring
81093-37-0	Polycyclic Hydrocarbons, Aromatic
61-25-6	Alkaloids
6011-62-7	Hydrazines
56-75-7	Alcohols
50-02-2	Steroids
77-86-1	Alcohols
439-14-5	Heterocyclic Compounds, 2-Ring
55819-32-4	Organophosphorus Compounds
298-57-7	Heterocyclic Compounds, 1-Ring
111348-33-5	Alkaloids
1668-19-5	Heterocyclic Compounds, 3-Ring
18883-66-4	Nitroso Compounds
1806-26-4	Phenols
470-82-6	Hydrocarbons
138199-71-0	Heterocyclic Compounds, 2-Ring
7440-38-2	Organometallic Compounds
35891-93-1	Amides
58-05-9	Vitamins
83905-01-5	Lactones
82586-55-8	Heterocyclic Compounds, 2-Ring
508-52-1	Carbohydrates
50-60-2	Heterocyclic Compounds, 1-Ring
187285-10-5	Organophosphorus Compounds
1405-10-3	Carbohydrates
121947-25-9	Heterocyclic Compounds, 3-Ring
73-31-4	Heterocyclic Compounds, 2-Ring
96448-41-8	Hydrocarbons
125317-39-7	Alkaloids
25387-67-1	Alkaloids
16110-51-3	Heterocyclic Compounds, 2-Ring
3239-44-9	Amines
66376-36-1	Organophosphorus Compounds
72-69-5	Polycyclic Hydrocarbons, Aromatic
27203-92-5	Alcohols
81131-70-6	Polycyclic Hydrocarbons, Aromatic
103639-04-9	Heterocyclic Compounds, 1-Ring
68-22-4	Steroids
65271-80-9	Quinones
113-98-4	Amides
93106-60-6	Heterocyclic Compounds, 2-Ring
21535-47-7	Heterocyclic Compounds, 3-Ring
90243-99-5	Heterocyclic Compounds, 2-Ring
15347-57-6	Metals
34786-70-4	Lactones
25812-30-0	Carboxylic Acids
75438-57-2	Heterocyclic Compounds, 1-Ring
28721-07-5	Heterocyclic Compounds, 3-Ring
86784-41-0	Heterocyclic Compounds, 2-Ring
122-11-2	Amides
68693-11-8	Hydrocarbons
60-80-0	Heterocyclic Compounds, 1-Ring
119-36-8	Carboxylic Acids
23288-49-5	Phenols
47880-49-9	Carbohydrates
126-07-8	Heterocyclic Compounds, 2-Ring
150399-21-6	Phenols
93572-42-0	Lipids
87573-04-4	Carbohydrates
74-55-5	Amines
50-23-7	Steroids
129-06-6	Heterocyclic Compounds, 2-Ring
39331-48-1	Heterocyclic Compounds, 1-Ring
53716-50-0	Heterocyclic Compounds, 2-Ring
60763-49-7	Heterocyclic Compounds, 1-Ring
108138-46-1	Heterocyclic Compounds, 2-Ring
148-24-3	Heterocyclic Compounds, 2-Ring
91161-71-6	Polycyclic Hydrocarbons, Aromatic
34675-84-8	Carboxylic Acids
5581-45-3	Amides
21462-39-5	Carbohydrates
23795-03-1	Amides
97682-44-5	Alkaloids
63527-52-6	Amides
53-60-1	Heterocyclic Compounds, 3-Ring
108863-62-3	Hydrazines
58947-95-8	Heterocyclic Compounds, 1-Ring
3717-88-2	Heterocyclic Compounds, 2-Ring
47879-97-0	Carbohydrates
11116-31-7	Peptides
630-93-3	Heterocyclic Compounds, 1-Ring
94-24-6	Carboxylic Acids
142057-77-0	Polycyclic Hydrocarbons, Aromatic
54965-21-8	Heterocyclic Compounds, 2-Ring
80382-23-6	Carboxylic Acids
16595-80-5	Heterocyclic Compounds, 1-Ring
456-59-7	Carboxylic Acids
105878-73-7	Heterocyclic Compounds, 2-Ring
105234-21-7	Heterocyclic Compounds, 3-Ring
125-84-8	Heterocyclic Compounds, 1-Ring
51-83-2	Amines
180683-37-8	Heterocyclic Compounds, 1-Ring
548-62-9	Amines
79902-63-9	Polycyclic Hydrocarbons, Aromatic
