CASRNUID	CASRN	TestSubstance_ChemName	Molecular_Formular	IUPAC_Name	InChI	InChIKey	SMILES
2894	20224-45-7	S-(-)-Secobarbital	C12H18N2O3	5-[(2R)-pentan-2-yl]-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	InChI=1S/C12H18N2O3/c1-4-6-8(3)12(7-5-2)9(15)13-11(17)14-10(12)16/h5,8H,2,4,6-7H2,1,3H3,(H2,13,14,15,16,17)/t8-/m1/s1	KQPKPCNLIDLUMF-MRVPVSSYSA-N	CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O
2895	20229-30-5	Metitepine	C20H24N2S2	1-methyl-4-(3-methylsulfanyl-5,6-dihydrobenzo[b][1]benzothiepin-5-yl)piperazine	InChI=1S/C20H24N2S2/c1-21-9-11-22(12-10-21)18-13-15-5-3-4-6-19(15)24-20-8-7-16(23-2)14-17(18)20/h3-8,14,18H,9-13H2,1-2H3	RLJFTICUTYVZDG-UHFFFAOYSA-N	CSC1=CC2=C(SC3=C(CC2N2CCN(C)CC2)C=CC=C3)C=C1
2896	202409-33-4	Etoricoxib	C18H15ClN2O2S	5-chloro-2-(6-methylpyridin-3-yl)-3-(4-methylsulfonylphenyl)pyridine	InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3	MNJVRJDLRVPLFE-UHFFFAOYSA-N	CC1=NC=C(C=C1)C1=NC=C(Cl)C=C1C1=CC=C(C=C1)S(C)(=O)=O
2897	2026-24-6	Dehydroabietylamine acetate	C22H35NO2	[(1R,4aS,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthren-1-yl]methanamine;acetic acid	InChI=1S/C20H31N.C2H4O2/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4;1-2(3)4/h6,8,12,14,18H,5,7,9-11,13,21H2,1-4H3;1H3,(H,3,4)/t18-,19-,20+;/m0./s1	BFAQRUGPWJVQDA-WFBUOHSLSA-N	CC(O)=O.CC(C)C1=CC=C2C(CC[C@H]3[C@](C)(CN)CCC[C@]23C)=C1
2898	20265-96-7	4-Chloroaniline hydrochloride	C6H7Cl2N	4-chloroaniline;hydrochloride	InChI=1S/C6H6ClN.ClH/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H	ISJBQSJDQZLCSF-UHFFFAOYSA-N	Cl.NC1=CC=C(Cl)C=C1
2899	20265-97-8	4-Methoxyaniline hydrochloride	C7H10ClNO	4-methoxyaniline;hydrochloride	InChI=1S/C7H9NO.ClH/c1-9-7-4-2-6(8)3-5-7;/h2-5H,8H2,1H3;1H	VQYJLACQFYZHCO-UHFFFAOYSA-N	Cl.COC1=CC=C(N)C=C1
2900	203-64-5	4-H-Cyclopenta(d,e,f)phenanthrene	C15H10		InChI=1S/C15H10/c1-3-10-7-8-11-4-2-6-13-9-12(5-1)14(10)15(11)13/h1-8H,9H2	RKZDZWJDQTZDLD-UHFFFAOYSA-N	C1C2=CC=CC3=C2C2=C1C=CC=C2C=C3
2901	2030-63-9	Clofazimine	C27H22Cl2N4	N,5-bis(4-chlorophenyl)-3-propan-2-yliminophenazin-2-amine	InChI=1S/C27H22Cl2N4/c1-17(2)30-24-16-27-25(15-23(24)31-20-11-7-18(28)8-12-20)32-22-5-3-4-6-26(22)33(27)21-13-9-19(29)10-14-21/h3-17,31H,1-2H3	WDQPAMHFFCXSNU-UHFFFAOYSA-N	CC(C)\N=C1\C=C2N(C3=CC=C(Cl)C=C3)C3=CC=CC=C3N=C2C=C1NC1=CC=C(Cl)C=C1
2902	2031-67-6	Triethoxymethylsilane	C7H18O3Si	triethoxy(methyl)silane	InChI=1S/C7H18O3Si/c1-5-8-11(4,9-6-2)10-7-3/h5-7H2,1-4H3	CPUDPFPXCZDNGI-UHFFFAOYSA-N	CCO[Si](C)(OCC)OCC
2903	2032-59-9	Aminocarb	C11H16N2O2	[4-(dimethylamino)-3-methylphenyl] N-methylcarbamate	InChI=1S/C11H16N2O2/c1-8-7-9(15-11(14)12-2)5-6-10(8)13(3)4/h5-7H,1-4H3,(H,12,14)	IMIDOCRTMDIQIJ-UHFFFAOYSA-N	CNC(=O)OC1=CC(C)=C(C=C1)N(C)C
2904	2032-65-7	Methiocarb	C11H15NO2S	(3,5-dimethyl-4-methylsulfanylphenyl) N-methylcarbamate	InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)	YFBPRJGDJKVWAH-UHFFFAOYSA-N	CNC(=O)OC1=CC(C)=C(SC)C(C)=C1
2905	20325-40-0	3,3'-Dimethoxybenzidine dihydrochloride	C14H18Cl2N2O2	4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;dihydrochloride	InChI=1S/C14H16N2O2.2ClH/c1-17-13-7-9(3-5-11(13)15)10-4-6-12(16)14(8-10)18-2;;/h3-8H,15-16H2,1-2H3;2*1H	UXTIAFYTYOEQHV-UHFFFAOYSA-N	Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1
2906	203313-25-1	Spirotetramat	C21H27NO5	[3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4.5]dec-3-en-4-yl] ethyl carbonate	InChI=1S/C21H27NO5/c1-5-26-20(24)27-18-17(16-12-13(2)6-7-14(16)3)19(23)22-21(18)10-8-15(25-4)9-11-21/h6-7,12,15H,5,8-11H2,1-4H3,(H,22,23)	CLSVJBIHYWPGQY-UHFFFAOYSA-N	CCOC(=O)OC1=C(C(=O)N[C@@]11CC[C@@H](CC1)OC)C1=C(C)C=CC(C)=C1
2907	203389-28-0	1-Butylpyridinium tetrafluoroborate	C9H14BF4N	1-butylpyridin-1-ium;tetrafluoroborate	InChI=1S/C9H14N.BF4/c1-2-3-7-10-8-5-4-6-9-10;2-1(3,4)5/h4-6,8-9H,2-3,7H2,1H3;/q+1;-1	XLWDQAHXRCBPEE-UHFFFAOYSA-N	F[B-](F)(F)F.CCCC[N+]1=CC=CC=C1
2908	2037-95-8	Carsalam	C8H5NO3	1,3-benzoxazine-2,4-dione	InChI=1S/C8H5NO3/c10-7-5-3-1-2-4-6(5)12-8(11)9-7/h1-4H,(H,9,10,11)	OAYRYNVEFFWSHK-UHFFFAOYSA-N	O=C1NC(=O)C2=CC=CC=C2O1
2909	2038-03-01	2-Morpholinoethylamine	C6H14N2O	2-morpholin-4-ylethanamine	InChI=1S/C6H14N2O/c7-1-2-8-3-5-9-6-4-8/h1-7H2	RWIVICVCHVMHMU-UHFFFAOYSA-N	NCCN1CCOCC1
2910	203866-13-1	1,2-Pyrrolidinedicarboxylicacid,4-fluoro-,1-(1,1-dimethylethyl)ester,(2S,4S)-	C10H16FNO4	(2S,4S)-4-fluoro-1-[(2-methylpropan-2-yl)oxycarbonyl]pyrrolidine-2-carboxylic acid	InChI=1S/C10H16FNO4/c1-10(2,3)16-9(15)12-5-6(11)4-7(12)8(13)14/h6-7H,4-5H2,1-3H3,(H,13,14)/t6-,7-/m0/s1	YGWZXQOYEBWUTH-BQBZGAKWSA-N	CC(C)(C)OC(=O)N1C[C@@H](F)C[C@H]1C(O)=O
2911	2039-76-1	3-Acetylphenanthrene	C16H12O	1-phenanthren-3-ylethanone	InChI=1S/C16H12O/c1-11(17)14-9-8-13-7-6-12-4-2-3-5-15(12)16(13)10-14/h2-10H,1H3	JKVNPRNAHRHQDD-UHFFFAOYSA-N	CC(=O)C1=CC2=C(C=C1)C=CC1=CC=CC=C21
2912	203942-49-8	UK-337312	C34H42Cl2F6N2O4S	N-[(2S)-4-(4-cyclohexyl-1-azoniabicyclo[2.2.2]octan-1-yl)-2-(3,4-dichlorophenyl)butyl]-N-methyl-3,5-bis(trifluoromethyl)benzamide;methanesulfonate	InChI=1S/C33H39Cl2F6N2O.CH4O3S/c1-42(30(44)24-17-26(32(36,37)38)20-27(18-24)33(39,40)41)21-23(22-7-8-28(34)29(35)19-22)9-13-43-14-10-31(11-15-43,12-16-43)25-5-3-2-4-6-25;1-5(2,3)4/h7-8,17-20,23,25H,2-6,9-16,21H2,1H3;1H3,(H,2,3,4)/q+1;/p-1/t23-,31?,43?;/m1./s1	JEJYYKZPVIEEAS-MWLZSUMNSA-M	CS([O-])(=O)=O.CN(C[C@@H](CC[N+]12CCC(CC1)(CC2)C1CCCCC1)C1=CC(Cl)=C(Cl)C=C1)C(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
2913	2040-10-0	4'-tert-Butyl-2',6'-dimethylacetophenone	C14H20O	1-(4-tert-butyl-2,6-dimethylphenyl)ethanone	InChI=1S/C14H20O/c1-9-7-12(14(4,5)6)8-10(2)13(9)11(3)15/h7-8H,1-6H3	JNHLHPMTMTYLCP-UHFFFAOYSA-N	CC(=O)C1=C(C)C=C(C=C1C)C(C)(C)C
2914	204005-46-9	SU-5416	C15H14N2O	3-[(3,5-dimethyl-1H-pyrrol-2-yl)methylidene]-1H-indol-2-one	InChI=1S/C15H14N2O/c1-9-7-10(2)16-14(9)8-12-11-5-3-4-6-13(11)17-15(12)18/h3-8,16H,1-2H3,(H,17,18)	WUWDLXZGHZSWQZ-UHFFFAOYSA-N	CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C
2915	2043-55-2	1,1,1,2,2,3,3,4,4-Nonafluoro-6-iodohexane	C6H4F9I	1,1,1,2,2,3,3,4,4-nonafluoro-6-iodohexane	InChI=1S/C6H4F9I/c7-3(8,1-2-16)4(9,10)5(11,12)6(13,14)15/h1-2H2	CXHFIVFPHDGZIS-UHFFFAOYSA-N	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI
2916	2043-57-4	1H,1H,2H,2H-Perfluorooctyl iodide	C8H4F13I	1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-8-iodooctane	InChI=1S/C8H4F13I/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h1-2H2	NVVZEKTVIXIUKW-UHFFFAOYSA-N	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI
2917	2044-64-6	N,N-Dimethylacetoacetamide	C6H11NO2	N,N-dimethyl-3-oxobutanamide	InChI=1S/C6H11NO2/c1-5(8)4-6(9)7(2)3/h4H2,1-3H3	YPEWWOUWRRQBAX-UHFFFAOYSA-N	CN(C)C(=O)CC(C)=O
2918	20445-94-7	Ethyltributylphosphonium diethylphosphate	C18H42O4P2	diethyl phosphate;tributyl(ethyl)phosphanium	InChI=1S/C14H32P.C4H11O4P/c1-5-9-12-15(8-4,13-10-6-2)14-11-7-3;1-3-7-9(5,6)8-4-2/h5-14H2,1-4H3;3-4H2,1-2H3,(H,5,6)/q+1;/p-1	RDCTYOLAEUHRGG-UHFFFAOYSA-M	CCOP([O-])(=O)OCC.CCCC[P+](CC)(CCCC)CCCC
2919	204519-65-3	Gemifloxacin mesylate	C19H24FN5O7S	7-[(4Z)-3-(aminomethyl)-4-methoxyiminopyrrolidin-1-yl]-1-cyclopropyl-6-fluoro-4-oxo-1,8-naphthyridine-3-carboxylic acid;methanesulfonic acid	InChI=1S/C18H20FN5O4.CH4O3S/c1-28-22-14-8-23(6-9(14)5-20)17-13(19)4-11-15(25)12(18(26)27)7-24(10-2-3-10)16(11)21-17;1-5(2,3)4/h4,7,9-10H,2-3,5-6,8,20H2,1H3,(H,26,27);1H3,(H,2,3,4)/b22-14+;	JIYMVSQRGZEYAX-CWUUNJJBSA-N	CS(O)(=O)=O.CO\N=C1/CN(CC1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O
2920	205-99-2	Benzo(b)fluoranthene	C20H12		InChI=1S/C20H12/c1-2-7-14-13(6-1)12-19-16-9-4-3-8-15(16)18-11-5-10-17(14)20(18)19/h1-12H	FTOVXSOBNPWTSH-UHFFFAOYSA-N	C1=CC2=C(C=C1)C1=CC3=C(C=CC=C3)C3=C1C2=CC=C3
2921	2050-43-3	N-(2,4-Dimethylphenyl)acetamide	C10H13NO	N-(2,4-dimethylphenyl)acetamide	InChI=1S/C10H13NO/c1-7-4-5-10(8(2)6-7)11-9(3)12/h4-6H,1-3H3,(H,11,12)	PJEIIBXJUDOMAN-UHFFFAOYSA-N	CC(=O)NC1=CC=C(C)C=C1C
2922	2050-46-6	1,2-Diethoxybenzene	C10H14O2	1,2-diethoxybenzene	InChI=1S/C10H14O2/c1-3-11-9-7-5-6-8-10(9)12-4-2/h5-8H,3-4H2,1-2H3	QZYDOKBVZJLQCK-UHFFFAOYSA-N	CCOC1=CC=CC=C1OCC
2923	2050-47-7	4,4'-Dibromodiphenyl ether	C12H8Br2O	1-bromo-4-(4-bromophenoxy)benzene	InChI=1S/C12H8Br2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H	YAWIAFUBXXPJMQ-UHFFFAOYSA-N	BrC1=CC=C(OC2=CC=C(Br)C=C2)C=C1
2924	2050-60-4	Dibutyl ethanedioate	C10H18O4	dibutyl oxalate	InChI=1S/C10H18O4/c1-3-5-7-13-9(11)10(12)14-8-6-4-2/h3-8H2,1-2H3	JKRZOJADNVOXPM-UHFFFAOYSA-N	CCCCOC(=O)C(=O)OCCCC
2925	2050-87-5	Diallyl trisulfide	C6H10S3	3-(prop-2-enyltrisulfanyl)prop-1-ene	InChI=1S/C6H10S3/c1-3-5-7-9-8-6-4-2/h3-4H,1-2,5-6H2	UBAXRAHSPKWNCX-UHFFFAOYSA-N	C=CCSSSCC=C
2926	2050-92-2	N-pentylpentan-1-amine	C10H23N	N-pentylpentan-1-amine	InChI=1S/C10H23N/c1-3-5-7-9-11-10-8-6-4-2/h11H,3-10H2,1-2H3	JACMPVXHEARCBO-UHFFFAOYSA-N	CCCCCNCCCCC
2927	2050-99-9	5-Nonanone, 2,8-dimethyl-	C11H22O	2,8-dimethylnonan-5-one	InChI=1S/C11H22O/c1-9(2)5-7-11(12)8-6-10(3)4/h9-10H,5-8H2,1-4H3	JQCWLRHNAHIIGW-UHFFFAOYSA-N	CC(C)CCC(=O)CCC(C)C
2928	2051-62-9	4-Chlorobiphenyl	C12H9Cl	1-chloro-4-phenylbenzene	InChI=1S/C12H9Cl/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H	FPWNLURCHDRMHC-UHFFFAOYSA-N	ClC1=CC=C(C=C1)C1=CC=CC=C1
2929	2052-07-05	2-Bromobiphenyl	C12H9Br	1-bromo-2-phenylbenzene	InChI=1S/C12H9Br/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H	KTADSLDAUJLZGL-UHFFFAOYSA-N	BrC1=C(C=CC=C1)C1=CC=CC=C1
2930	2052-15-5	Butyl 4-oxopentanoate	C9H16O3	butyl 4-oxopentanoate	InChI=1S/C9H16O3/c1-3-4-7-12-9(11)6-5-8(2)10/h3-7H2,1-2H3	ISBWNEKJSSLXOD-UHFFFAOYSA-N	CCCCOC(=O)CCC(C)=O
2931	20535-83-5	O6-Methylguanine	C6H7N5O	6-methoxy-7H-purin-2-amine	InChI=1S/C6H7N5O/c1-12-5-3-4(9-2-8-3)10-6(7)11-5/h2H,1H3,(H3,7,8,9,10,11)	BXJHWYVXLGLDMZ-UHFFFAOYSA-N	COC1=NC(N)=NC2=C1NC=N2
2932	20537-88-6	Amifostine	C5H15N2O3PS	2-(3-aminopropylamino)ethylsulfanylphosphonic acid	InChI=1S/C5H15N2O3PS/c6-2-1-3-7-4-5-12-11(8,9)10/h7H,1-6H2,(H2,8,9,10)	JKOQGQFVAUAYPM-UHFFFAOYSA-N	NCCCNCCSP(O)(O)=O
2933	20554-84-1	Parthenolide	C15H20O3		InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3/b9-5+/t11-,12-,13-,15+/m0/s1	KTEXNACQROZXEV-SLXBATTESA-N	CC1=CCC[C@@]2(C)O[C@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
2934	20559-55-1	Oxibendazole	C12H15N3O3	methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate	InChI=1S/C12H15N3O3/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	RAOCRURYZCVHMG-UHFFFAOYSA-N	CCCOC1=CC2=C(NC(NC(=O)OC)=N2)C=C1
2935	20562-02-1	alpha-Solanine	C45H73NO15		InChI=1S/C45H73NO15/c1-19-6-9-27-20(2)31-28(46(27)16-19)15-26-24-8-7-22-14-23(10-12-44(22,4)25(24)11-13-45(26,31)5)57-43-40(61-41-37(54)35(52)32(49)21(3)56-41)39(34(51)30(18-48)59-43)60-42-38(55)36(53)33(50)29(17-47)58-42/h7,19-21,23-43,47-55H,6,8-18H2,1-5H3/t19-,20+,21-,23?,24+,25-,26-,27+,28-,29+,30+,31-,32-,33+,34-,35+,36-,37+,38+,39-,40+,41+,42-,43+,44-,45-/m0/s1	ZGVSETXHNHBTRK-WWELWOLRSA-N	C[C@@H]1[C@H]2CC[C@H](C)CN2[C@H]2C[C@H]3[C@@H]4CC=C5CC(CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@H]12)O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
2936	2057-49-0	4-(3-Phenylpropyl)pyridine	C14H15N	4-(3-phenylpropyl)pyridine	InChI=1S/C14H15N/c1-2-5-13(6-3-1)7-4-8-14-9-11-15-12-10-14/h1-3,5-6,9-12H,4,7-8H2	AQIIVEISJBBUCR-UHFFFAOYSA-N	C(CC1=CC=CC=C1)CC1=CC=NC=C1
2937	20570-96-1	Benzylhydrazine dihydrochloride	C7H12Cl2N2	benzylhydrazine;dihydrochloride	InChI=1S/C7H10N2.2ClH/c8-9-6-7-4-2-1-3-5-7;;/h1-5,9H,6,8H2;2*1H	MSJHOJKVMMEMNX-UHFFFAOYSA-N	Cl.Cl.NNCC1=CC=CC=C1
2938	2058-46-0	Oxytetracycline hydrochloride	C22H25ClN2O9	(4S,4aR,5S,5aR,6S,12aR)-4-(dimethylamino)-1,5,6,10,11,12a-hexahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride	InChI=1S/C22H24N2O9.ClH/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29;/h4-6,12-14,17,25-26,28,30,32-33H,1-3H3,(H2,23,31);1H/t12-,13-,14+,17+,21-,22+;/m1./s1	SVDOODSCHVSYEK-IFLJXUKPSA-N	Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
2939	2058-52-8	Clothiapine	C18H18ClN3S	8-chloro-6-(4-methylpiperazin-1-yl)benzo[b][1,4]benzothiazepine	InChI=1S/C18H18ClN3S/c1-21-8-10-22(11-9-21)18-14-12-13(19)6-7-16(14)23-17-5-3-2-4-15(17)20-18/h2-7,12H,8-11H2,1H3	KAAZGXDPUNNEFN-UHFFFAOYSA-N	CN1CCN(CC1)C1=NC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
2940	2058-94-8	Perfluoroundecanoic acid	C11HF21O2	2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoic acid	InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)	SIDINRCMMRKXGQ-UHFFFAOYSA-N	OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2941	20594-83-6	Nalbuphine	C21H27NO4	(4R,4aS,7S,7aR,12bS)-3-(cyclobutylmethyl)-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7,9-triol	InChI=1S/C21H27NO4/c23-14-5-4-13-10-16-21(25)7-6-15(24)19-20(21,17(13)18(14)26-19)8-9-22(16)11-12-2-1-3-12/h4-5,12,15-16,19,23-25H,1-3,6-11H2/t15-,16+,19-,20-,21+/m0/s1	NETZHAKZCGBWSS-CEDHKZHLSA-N	O[C@H]1CC[C@@]2(O)[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3CC1CCC1)=C(O)C=C4
2942	206-44-0	Fluoranthene	C16H10	fluoranthene	InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H	GVEPBJHOBDJJJI-UHFFFAOYSA-N	C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1
2943	2062-77-3	Trifluperidol hydrochloride	C22H24ClF4NO2	1-(4-fluorophenyl)-4-[4-hydroxy-4-[3-(trifluoromethyl)phenyl]piperidin-1-yl]butan-1-one;hydrochloride	InChI=1S/C22H23F4NO2.ClH/c23-19-8-6-16(7-9-19)20(28)5-2-12-27-13-10-21(29,11-14-27)17-3-1-4-18(15-17)22(24,25)26;/h1,3-4,6-9,15,29H,2,5,10-14H2;1H	VYGQXRZAHIZHQV-UHFFFAOYSA-N	Cl.OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=CC(=C1)C(F)(F)F
2944	2062-78-4	Pimozide	C28H29F2N3O	3-[1-[4,4-bis(4-fluorophenyl)butyl]piperidin-4-yl]-1H-benzimidazol-2-one	InChI=1S/C28H29F2N3O/c29-22-11-7-20(8-12-22)25(21-9-13-23(30)14-10-21)4-3-17-32-18-15-24(16-19-32)33-27-6-2-1-5-26(27)31-28(33)34/h1-2,5-14,24-25H,3-4,15-19H2,(H,31,34)	YVUQSNJEYSNKRX-UHFFFAOYSA-N	FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2)C1=CC=C(F)C=C1
2945	2062-84-2	Benperidol	C22H24FN3O2	3-[1-[4-(4-fluorophenyl)-4-oxobutyl]piperidin-4-yl]-1H-benzimidazol-2-one	InChI=1S/C22H24FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-10,18H,3,6,11-15H2,(H,24,28)	FEBOTPHFXYHVPL-UHFFFAOYSA-N	FC1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2
2946	20624-25-3	Sodium diethyldithiocarbamate trihydrate	C5H16NNaO3S2	sodium;N,N-diethylcarbamodithioate;trihydrate	InChI=1S/C5H11NS2.Na.3H2O/c1-3-6(4-2)5(7)8;;;;/h3-4H2,1-2H3,(H,7,8);;3*1H2/q;+1;;;/p-1	WWGXHTXOZKVJDN-UHFFFAOYSA-M	O.O.O.[Na+].CCN(CC)C([S-])=S
2947	206361-99-1	Darunavir	C27H37N3O7S	[(3aS,4R,6aR)-2,3,3a,4,5,6a-hexahydrofuro[2,3-b]furan-4-yl] N-[(2S,3R)-4-[(4-aminophenyl)sulfonyl-(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl]carbamate	InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1	CJBJHOAVZSMMDJ-HEXNFIEUSA-N	CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)C1=CC=C(N)C=C1
2948	20662-14-0	Scandium chloride hexahydrate	Cl3H12O6Sc	trichloroscandium;hexahydrate	InChI=1S/3ClH.6H2O.Sc/h3*1H;6*1H2;/q;;;;;;;;;+3/p-3	FKZFOHABAHJDIK-UHFFFAOYSA-K	O.O.O.O.O.O.Cl[Sc](Cl)Cl
2949	20662-53-7	Benzimidazolone	C12H15N3O	3-piperidin-4-yl-1H-benzimidazol-2-one	InChI=1S/C12H15N3O/c16-12-14-10-3-1-2-4-11(10)15(12)9-5-7-13-8-6-9/h1-4,9,13H,5-8H2,(H,14,16)	BYNBAMHAURJNTR-UHFFFAOYSA-N	O=C1NC2=C(C=CC=C2)N1C1CCNCC1
2950	20665-85-4	Vanillin isobutyrate	C12H14O4	(4-formyl-2-methoxyphenyl) 2-methylpropanoate	InChI=1S/C12H14O4/c1-8(2)12(14)16-10-5-4-9(7-13)6-11(10)15-3/h4-8H,1-3H3	BGKAKRUFBSTALK-UHFFFAOYSA-N	COC1=C(OC(=O)C(C)C)C=CC(C=O)=C1
2951	20684-06-4	Bamifylline Hydrochloride	C20H28ClN5O3	8-benzyl-7-[2-[ethyl(2-hydroxyethyl)amino]ethyl]-1,3-dimethylpurine-2,6-dione;hydrochloride	InChI=1S/C20H27N5O3.ClH/c1-4-24(12-13-26)10-11-25-16(14-15-8-6-5-7-9-15)21-18-17(25)19(27)23(3)20(28)22(18)2;/h5-9,26H,4,10-14H2,1-3H3;1H	PDBXHPORMXSXKO-UHFFFAOYSA-N	Cl.CCN(CCO)CCN1C(CC2=CC=CC=C2)=NC2=C1C(=O)N(C)C(=O)N2C
2952	207-08-9	Benzo(k)fluoranthene	C20H12	benzo[k]fluoranthene	InChI=1S/C20H12/c1-2-6-15-12-19-17-10-4-8-13-7-3-9-16(20(13)17)18(19)11-14(15)5-1/h1-12H	HAXBIWFMXWRORI-UHFFFAOYSA-N	C1=CC2=CC3=C(C=C2C=C1)C1=C2C3=CC=CC2=CC=C1
2953	20701-77-3	Aminopentamide sulfate	C19H26N2O5S	4-(dimethylamino)-2,2-diphenylpentanamide;sulfuric acid	InChI=1S/C19H24N2O.H2O4S/c1-15(21(2)3)14-19(18(20)22,16-10-6-4-7-11-16)17-12-8-5-9-13-17;1-5(2,3)4/h4-13,15H,14H2,1-3H3,(H2,20,22);(H2,1,2,3,4)	GEKOQGPXZRQQHJ-UHFFFAOYSA-N	OS(O)(=O)=O.CC(CC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)N(C)C
2954	20702-77-6	Neohesperidin dihydrochalcone	C28H36O15	1-[4-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2,6-dihydroxyphenyl]-3-(3-hydroxy-4-methoxyphenyl)propan-1-one	InChI=1S/C28H36O15/c1-11-21(34)23(36)25(38)27(40-11)43-26-24(37)22(35)19(10-29)42-28(26)41-13-8-16(32)20(17(33)9-13)14(30)5-3-12-4-6-18(39-2)15(31)7-12/h4,6-9,11,19,21-29,31-38H,3,5,10H2,1-2H3/t11-,19+,21-,22+,23+,24-,25+,26+,27-,28+/m0/s1	ITVGXXMINPYUHD-CUVHLRMHSA-N	COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C=C2O)C=C1
