1000287-05-7	DB15623	HIV-1 protease
205923-56-4	DB00002	EGFR; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; C1S; FCGR1A; FCGR2A; FCGR2B; FCGR2C
205923-57-5	DB04958	CD22
206181-63-7	DB00078	MS4A1; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; C1S; FCGR1A; FCGR2A; FCGR2B; FCGR2C
206873-63-4	DB06240	ABCB1
20696-57-5	DB04537	trpS; WARS
20772-64-9	DB13869	ESR2; ESR1
207748-29-6	DB01309	INSR; IGF1R
20780-53-4	DB04499	hheC
20790-72-1	DB04527	MASP2
208265-92-3	DB00019	CSF3R
208848-19-5	DB03925	ELANE; CELA1
208921-02-2	DB00081	MS4A1; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C
209799-67-7	DB06185	PNP
209810-58-2	DB00012	EPOR
209860-87-7	DB08819	PTGFR
211448-85-0	DB04983	P2RY2
21215-62-3	DB06773	ACTN1
213327-37-8	DB04964	MUC16
21416-43-3	DB04129	GRIA2
214745-43-4	DB00095	ITGAL; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C
214766-78-6	DB06699	GNRHR
215647-85-1	DB00022	IFNAR1; IFNAR2
216227-54-2	DB14069	ABCB1
21646-00-4	DB03721	kpsU; L5; SIGLEC1; AZGP1; ; L5; CES1; tetX; ctxB; botB; SELP; MBL2; SELE; REG1A; ; entB; NA; HN
216503-57-0	DB00087	CD52; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C
216863-66-0	DB02009	gag-pol
216974-75-3	DB00112	VEGFA
2174-16-5	DB11079	PTGS1; PTGS2
218600-44-3	DB12651	CASP8
218600-53-4	DB05983	NFKBIA
218620-50-9	DB00082	GHR
218949-48-5	DB08869	GHRHR
219649-07-7	DB05097	CEACAM5
219685-50-4	DB01257	C5
219691-94-8	DB03176	THRB; THRA
220578-59-6	DB00056	CD33; FCGR3B; C1R; C1QA; C1QB; C1QC; FCGR3A; C1S; FCGR1A; FCGR2A; FCGR2B; FCGR2C
220651-94-5	DB06475	CD40LG
220991-32-2	DB11455	PTGS2
221635-42-3	DB04090	NQO1
2216712-66-0	DB15444	CFTR
222535-22-0	DB00092	CD2; C1R; C1QA; C1QB; C1QC; FCGR3A; FCGR1A; FCGR2A; FCGR2B; FCGR2C; FCGR3B
222716-86-1	DB04895	NRP1
222727-39-1	DB13146	SLC1A5; SLC7A7; SLC7A3; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRIA1; GRIA2; GRIA3; GRIA4
222834-30-2	DB06533	PPARA; PPARG
223387-75-5	DB08687	EGLN1; HIF1A
223537-30-2	DB05102	
2236-31-9	DB14641	ESR1; ESR2; SHBG
223645-67-8	DB13165	ROCK1; ROCK2
223673-61-8	DB08893	ADRB3
2252403-56-6	DB15569	KRAS
22537-22-0	DB01378	ATP1A1
227002-11-1	DB02801	aroQ; aroQ
227458-60-8	DB02964	PYGM
229180-41-0	DB05950	CACNA1B
22951-96-8	DB03673	PAH
229634-97-3	DB05966	ESR1; ESR2
23018-83-9	DB03156	; cslA; aguA
23435-23-6	DB15643	ACE2
23599-55-5	DB02460	cobH
24136-23-0	DB11811	PPARG
241473-69-8	DB06602	IL5
241479-67-4	DB11633	ERG11; KCNH2; CACNA1C; KCNJ6; KCNJ9; KCNJ11; KCNA5; KCND3; KCNQ1; SCN5A
24203-36-9	DB01345	ATP1A1
242138-07-4	DB00043	FCER1A; MS4A2
24250-85-9	DB03660	E; pcp; DPP4; 
24274-48-4	DB14050	TRPV1; TRPV2; TRPA1; DAGLA
24332-98-7	DB03194	MBL2
24347-58-8	DB02418	UBE2D2
24356-66-9	DB00194	; TK; TK
2438-32-6	DB09555	HRH1
2438-72-4	DB13346	PTGS1; PTGS2; HDAC6; HDAC10
24386-93-4	DB04604	CSNK1G2; GSG2; MAPK3
243984-11-4	DB05943	CSF2RB; IL2RG
2440-59-7	DB04083	; ; mdeA; metB; ; CCBL1; ODC1; bioA; PYGM; AGXT; aspC
244021-67-8	DB02519	PYGM; CRK2
24425-56-7	DB04132	GLO1; GSTM4; GSTP1; GST; GSTA1; GSTT2
2444-46-4	DB11324	TRPV1
246252-06-2	DB05428	TXNRD1; TXNRD2; RRM2
246539-15-1	DB11639	BMPR2; BMPR1A
247062-33-5	DB05084	PTH1R
24808-52-4	DB14490	TFRC; EGLN1; HDAC8; AHSP; HBA1; FXN; FTH1; FEN1; NEIL1; NEIL2; POLB; CP; TF
2490-97-3	DB04167	menC
24916-50-5	DB06145	rplC
249503-25-1	DB11676	L
24967-93-9	DB09301	BDNF; GDNF; VEGFA; CCL2
250386-15-3	DB05009	ADORA2A
251303-04-5	DB06521	PTPN1; IKBKB; PPARA; PPARG
251562-00-2	DB05413	SERPINA5
251565-85-2	DB06536	PPARA; PPARG
251579-55-2	DB05434	FGF2; HGF; VEGFA; CXCL8
252260-06-3	DB04850	MAOA
25281-48-5	DB01979	MBL2
25301-02-4	DB06439	LPL
25305-77-5	DB13967	ALB
25322-68-3	DB11236	ENPP1; HTATIP2
25447-65-8	DB11273	HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7; ADRB1; ADRB2; ADRB3; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
25447-66-9	DB11274	DRD2; DRD1; DRD5; DRD3
254740-64-2	DB12548	AGT; EDNRA
25520-83-6	DB03195	DTYMK
255374-84-6	DB05476	PLAUR
2557-49-5	DB00223	NR3C1
255810-66-3	DB05798	PRKAR2A; PRKAR1A
2564-35-4	DB02181	NME1; NRDD
256461-28-6	DB02096	ADA
256461-79-7	DB03220	ADA
25679-93-0	DB03997	hisC; hisC
2577-90-4	DB06838	pilE1; F2
25775-90-0	DB09120	TRPV1
257933-82-7	DB05524	EGFR
259074-76-5	DB04919	FGA; FGB
2595-97-3	DB03989	alsB
262352-17-0	DB06281	CETP
26289-39-4	DB02458	GSTM1; GSTM2
26538-44-3	DB11478	ESR1; SHBG
26598-29-8	DB03317	nrfA; cycA; psbV; cycM; nirM; cyd; ; glbN; ; CYP2C9; ; ; ccpA; ; cycP; cytc3; nirS; hmcA; cycA; qheDH; nirS; cc4; CYCS
26630-55-7	DB03134	dapD
267639-76-9	DB05332	MPL
268203-93-6	DB06267	PDE5A
268741-43-1	DB01830	LCK
26981-93-1	DB04361	gdhB
2709-56-0	DB00875	DRD2; HTR2A; DRD1; ADRA1A; CHRM1
27223-35-4	DB01587	TSPO; GABRA1; GABRB1; GABRG1; GABRD; GABRE
2756-91-4	DB02846	ANXA5
27718-41-8	DB01652	fcbB; 
28014-46-2	DB09369	ESR1
280782-97-0	DB05518	FBP1
28161-52-6	DB04062	araC; araF
282526-98-1	DB06586	PNLIP
28319-77-9	DB04660	GM2A
284019-34-7	DB05932	VEGFA; FLT1; FLT4
284035-33-2	DB05695	CASR
284036-24-4	DB13999	F10; PHYH; F9; ASGR2; HSPA5; CALR; CANX; LMAN1; LRP1; MCFD2; VWF
284045-95-0	DB03717	cex
28473-21-4	DB03143	atpE
28507-02-0	DB05107	G6PD
28704-27-0	DB05259	HLA-DRB1
28715-21-1	DB02767	fhuA; tonB; LY96; TLR4
288392-69-8	DB06371	CD2
29126-50-9	DB14508	IMPA2; IMPA1; GSK3B; GRIA3
29505-79-1	DB02831	pstS; DCXR
295371-00-5	DB04959	KRT7; UBR4
2957-21-3	DB08517	fabZ
298-57-7	DB00568	HRH1; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNA1G; CACNA1H; CACNA1I; DRD2; DRD1; DRD5; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
299-29-6	DB14488	TFRC; EGLN1; HDAC8; AHSP; HBA1; FXN; FTH1; FEN1; NEIL1; NEIL2; POLB; CP; TF
300-38-9	DB07637	EPOR
300-52-7	DB11328	PROCR
300832-84-2	DB05868	
301636-59-9	DB04998	IKBKG
302-25-0	DB14631	NR3C1; ANXA1
30315-93-6	DB01686	NOS2; NOS3
304-21-2	DB13875	HNMT
3054-01-1	DB04531	MGMT
30591-62-9	DB02837	MBL2
306296-47-9	DB06652	CCR5
308067-58-5	DB00028	FCGR1A; FCGR1B; FCGR2A; FCGR2B; FCGR2C; FCGR3A; FCGR3B; C3; C4A; C4B; C5
308067-60-9	DB00098	CD1A; MR1; ITGAL; CD86; FCGR2B; CD4; ITGB1; ITGAV; ITGB3
308068-55-5	DB06754	SERPINC1
308081-97-2	DB09539	SREBF1
308831-61-0	DB06494	GNRHR
3105-97-3	DB14061	ABCB1
31112-66-0	DB02715	ESR1
313-06-4	DB13954	ESR1; NR1I2; ESR2; CHRNA4; NCOA2; GPER1; MT-ATP6; BECN1; HSD17B2; ESRRG
3130-72-1	DB02180	NMT1; NMT2
313368-91-1	DB06077	HTR2A; DRD2; DRD1; SLC6A4; GRIN2B
313489-71-3	DB05713	F10
31418-71-0	DB01747	fhuD
315-37-7	DB13944	AR; ESR1; NR3C2
315224-26-1	DB05490	PPARG
316-66-5	DB08453	CYC1; MT-CYB; UQCRC1; UQCRC2; UQCRH; UQCRQ; UQCRFS1; UQCR11; UQCRB; UQCR10; petB; petA; petC; petD; petG; petL; petM; petN
31645-39-3	DB05668	DNMT1
317-34-0	DB01223	PDE3A; ADORA1; ADORA3; HDAC2
317318-70-0	DB05416	PPARD; PPARA
31855-75-1	DB00895	FCER1G; FCER1A
31868-18-5	DB15489	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRG1; GABRG2; GABRG3
320-77-4	DB01727	icd; icd; ACO2; IDH2; IDH1; prpB
320367-13-3	DB09265	GLP1R
3239-44-9	DB01191	SLC6A4; HTR2C
326859-36-3	DB05111	IFNG
326914-10-7	DB08009	CAMK1G
327-56-0	DB04419	PTH; HNF1A; PAH
328-50-7	DB08845	aspC
329-65-7	DB11124	ADRA1A; ADRA1B; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRA1D; ADRB3
329042-31-1	DB11133	PPARG; PPARA; SREBF1
330600-85-6	DB06614	NA; NA; NA
331243-22-2	DB06560	IL4
331731-18-1	DB00051	TNF
331741-94-7	DB06510	PPARA; PPARG
332348-12-6	DB01281	CD80; CD86
33286-30-5	DB02426	SLC25A4
333963-42-1	DB05514	CLCN2
33661-40-4	DB14528	CYB5A
3371-85-5	DB04877	ABCB1
33725-54-1	DB15598	ITGB3; SLC11A2
339177-26-3	DB01269	EGFR
339186-68-4	DB05101	EGFR
339286-19-0	DB14635	PPARG; VDR; ABCC5; CBR1; GSTP1
339308-60-0	DB05459	IL12B; IL23A
341-88-8	DB07918	frdA; frdB; frdC; frdD; fdnG; fdnH; fdnI; ; 
343250-05-5	DB07578	gag-pol
343321-96-0	DB07215	NCOA1; PPARA
345627-80-7	DB05969	CDK7; VEGFA
34612-38-9	DB02237	amyP; tvaII
3465-72-3	DB01971	hutU
346735-24-8	DB06248	LTB4R2; LTB4R
347396-82-1	DB01270	VEGFA
348119-84-6	DB05045	NPY4R; NPY2R
34980-66-0	DB04352	rbsD; NUDT9
350485-85-7	DB06584	MUC1; IL2
35061-50-8	DB03013	chb; LYZ; B4GALT1
35094-46-3	DB02930	BST1; SYN1; BCKDK; PFKFB1; PMS2; recA; recA; recA; ; purT; recQ; dnaX; pknB; cag-alfa
351862-32-3	DB06454	HTR1A; DRD2; DRD3
352-97-6	DB02751	GAMT
352425-37-7	DB12334	TUBB1; TUBB
353522-10-8	DB04698	aroQ
35531-88-5	DB09319	dacA; dacB; dacC; mrcA; mrcB; mrdA; ftsI
35580-46-2	DB02118	MMP12
356057-34-6	DB06311	PLA2G4A
356547-88-1	DB08879	TNFSF13B
357613-77-5	DB04901	CD80
357613-86-6	DB06162	FCER2
358-72-5	DB01785	FDPS; IDI1; ispH
361440-32-6	DB02719	PYGM
3616-04-4	DB03945	CRP; ELSPBP1; hlgB
3616-06-6	DB01713	hasB
3616-42-0	DB02657	glmS; nagA
362505-84-8	DB06367	CTSK
362665-56-3	DB11642	HRH3; KCNH2
36357-77-4	DB02557	MME; KEL
367514-87-2	DB08815	DRD2; HTR2A; HTR7; HTR1A; ADRA2C; ADRA2A
36861-47-9	DB11219	PGR; AR; ESR2; ESR1
3690-10-6	DB03068	cdd
3696-28-4	DB11327	NOS2; PTGS2
3704-09-4	DB11429	AR
3736-77-4	DB04627	udp
374107-43-4	DB05488	gyrB; TOP2B
375823-41-9	DB06273	IL6R
37589-80-3	DB01864	ARF6; TGM3; ftsZ; RAB11A
3768-14-7	DB03148	prs; ; ushA
3773-07-7	DB03003	gstA; GSTM4; GSTA1; GSTP1
380610-27-5	DB06366	ERBB2
380843-75-4	DB06616	BCR; ABL1; LYN; HCK; SRC; CDK2; MAP2K1; MAP2K2; MAP3K2; CAMK2G
381231-18-1	DB13074	GHSR
38321-02-7	DB14063	ABCB1
3863-59-0	DB14542	ANXA1; NR3C1; HSD11B2; HSD3B1
38819-01-1	DB02717	cbhA
389139-89-3	DB12455	rpsC; rpsG; rpsH; rpsS; rpsN
390-64-7	DB04825	CALM1; MYLK2
39295-97-1	DB09334	MC2R
393569-31-8	DB04287	PLA2G2A
39552-01-7	DB09013	ADRB1; ADRB2
396091-73-9	DB06663	SSTR1; SSTR2; SSTR3; SSTR5
397864-44-7	DB08906	NR3C1; PGR; NR3C2
39868-96-7	DB03966	gyrB
40045-50-9	DB15624	MAPK10; MAPK8; MAPK9
40248-31-5	DB02696	B4GALT1
4033-27-6	DB02015	folA; ptr2
40436-60-0	DB02900	algC; IGF2R; M6PR
405168-58-3	DB06852	CHEK1
405169-16-6	DB05928	NR1I2
410074-73-6	DB05964	SLC6A4; SLC6A2; DRD2
41036-24-2	DB03757	CELA1
414910-27-3	DB06634	CYP3A4; TACR1
4151-19-3	DB02053	rpiA; kdsA; ndx4
41753-43-9	DB06749	SLCO1B3
42017-89-0	DB13873	PPARA; MMP25; PPARG; PPARD; NR1I2
420784-05-0	DB01272	M6PR
4245-41-4	DB13952	ESR1; NR1I2; ESR2; CHRNA4; NCOA2; GPER1; MT-ATP6; BECN1; HSD17B2; ESRRG
428863-50-7	DB08904	TNF
4303-70-2	DB03784	PLA2G2A
4345-03-3	DB14001	SEC14L4; SEC14L3; SEC14L2; NR1I2; PRKCB; ALOX5; PRKCA; DGKA; PPP2CB; PPP2CA
437608-50-9	DB13985	SSTR2; SSTR1; SSTR3; SSTR4; SSTR5
441785-26-8	DB05020	
4423-58-9	DB02608	
443798-47-8	DB07664	CSNK1G3; SLK; CAMK4; CLK3; ABL2
444606-18-2	DB12140	TNF; IL1B; IL6
447-41-6	DB06152	CACNA1I; IFNAR2
4474-91-3	DB11842	AGTR1
4484-88-2	DB02430	treR
449811-92-1	DB06518	MAPK14
451493-31-5	DB06021	EGFR; ERBB2
452296-83-2	DB05532	FFAR4
45654-48-6	DB03162	
457075-21-7	DB06525	ACHE
457081-03-7	DB04716	JAK2; DAPK3; JAK1; JAK3; TYK2
460738-38-9	DB05311	KLKB1
461-06-3	DB02648	CRAT; CROT
461443-59-4	DB06497	CCR5
462-58-8	DB00411	CHRM1; CHRM2; CHRNA2; ACHE; CHRM3; CHRM4
464-48-2	DB11345	TRPV1; TRPV3; TRPA1; TRPM8
465499-11-0	DB04834	CHRM2
467-60-7	DB11584	DRD1; DRD5
47055-78-7	DB03158	INPP5B
4707-58-8	DB02274	bioA
472-61-7	DB06543	NFKBIA
475086-01-2	DB11362	PTGIR
476148-82-0	DB05642	HTR3A; SLC6A2
476181-74-5	DB06674	TNF
476436-68-7	DB12662	PPARG
477-27-0	DB15534	TUBB; TUBA1A
477202-00-9	DB06186	CTLA4
477931-14-9	DB08278	
478166-15-3	DB14751	IGF1R; INSR; IGF2R
478296-72-9	DB08872	CACNA2D1; CACNA2D2
478644-12-1	DB07278	F2; F10
478806-77-8	DB02143	NOS1
479-05-0	DB02521	cyp158a2; 
479-41-4	DB12379	CYP1A1; AHR
47931-85-1	DB00017	CALCR
48141-64-6	DB11587	ADRB2
4828-27-7	DB00838	NR3C1
483-14-7	DB12093	DRD1; DRD2
483-20-5	DB11577	AHR; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
485-84-7	DB03708	; PAPSS1
486-17-9	DB09014	HTR2C; SIGMAR1; DRD3
488-28-8	DB02399	rhaA
488712-31-8	DB00070	TGFB1
497-76-7	DB11217	TYR
498-23-7	DB04734	fccA
498-96-4	DB08848	SLC6A13; SLC6A1; SLC6A11; SLC6A12
49843-98-3	DB13978	SIRT1
50-03-3	DB14539	ANXA1; NR3C1; HSD11B2; HSD3B1
50-50-0	DB13953	ESR1; NR1I2; ESR2; CHRNA4; NCOA2; GPER1; MT-ATP6; BECN1; HSD17B2; ESRRG
50-56-6	DB00107	OXTR; OXT
50-57-7	DB14642	AVPR1A; AVPR2; AVPR1B
50-67-9	DB08839	SLC6A4; HTR2A; HTR3A; HTR3B; SLC18A2
500-44-7	DB01055	SHMT1; CCL2; TYR
501081-76-1	DB06372	IL1B; IL1A; IL1RN
50264-69-2	DB06266	CFTR; HK1
503431-81-0	DB05152	CHRM1
50480-67-6	DB07914	bphK; 
50567-35-6	DB04817	PTGS1
50647-08-0	DB01404	IL6; PTGS2; AHR
507453-82-9	DB06492	C3
508-99-6	DB14541	ANXA1; NR3C1; HSD11B2; HSD3B1
508233-74-7	DB09068	SLC6A4; HTR3A; HTR7; HTR1B; HTR1A; ADRB1; SLC6A2
509077-98-9	DB06607	EPCAM; FCGR2A; FCGR3A; FCGR3B; CD3E; FCGR1A
50936-59-9	DB01271	PLIN3
51432-32-7	DB01903	thyX
51555-87-4	DB04396	eltB; lacY; NCAN; LGALS1
515814-01-4	DB11693	PPP3R1; PPP3R2
516-54-1	DB11859	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
517-43-1	DB11365	AQP3; pol
518-34-3	DB14066	ABCB1
519187-23-6	DB05938	APP
52-21-1	DB15566	NR3C1
52214-84-3	DB09064	PPARA
52232-67-4	DB06285	PTH1R
52328-98-0	DB06133	AR
524-84-5	DB01444	OPRM1; OPRD1
524055-74-1	DB08479	TYMS
5241-58-7	DB04029	; ; daaA
524684-52-4	DB06832	ESR2; NCOA1
52474-59-6	DB03326	RNASE1
52553-42-1	DB02832	cysI
526-97-6	DB04304	bglA
52735-71-4	DB08374	CTRB1
53-42-9	DB02854	SULT2A1; HSD17B11; fabG3; IGHG2
53-57-6	DB02338	TXNRD1; zwf; PTR1; gfo; DPYD; AASS
53-85-0	DB08473	CSNK2A1
53109-32-3	DB02414	chiB
53164-05-9	DB13783	PTGS1; PTGS2
53230-10-7	DB00358	HBA1; ADORA2A
5328-37-0	DB03246	araF
533-45-9	DB06470	GABRA1
537-73-5	DB07109	
53714-56-0	DB00007	GNRHR
53716-44-2	DB13581	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5
537694-98-7	DB13979	
53861-57-7	DB03847	F2; BGLAP; F10
54-96-6	DB11640	KCNA1
54063-32-0	DB13158	NR3C1
541502-14-1	DB09036	IL6
54350-48-0	DB00926	RARA; RXRA; RARB; RXRG; RXRB; RARG
54739-18-3	DB00176	SLC6A4; KCNH2
550-33-4	DB04440	ADA
55096-26-9	DB06230	OPRM1; OPRK1; OPRD1
550999-75-2	DB11726	CHRNA7
552-66-9	DB02115	ALDH2
55242-55-2	DB06479	PDE4A
552858-79-4	DB01279	PLIN3
554-13-2	DB14509	IMPA2; IMPA1; GSK3B; GRIA3
55449-80-4	DB04483	manA
55516-54-6	DB07365	oppA; pol
557-34-6	DB14487	BDKRB1; MGMT; ALDOA; EEF1A1; ENO1; GAPDHS; NME1; P4HB; PDIA3; PRDX1; PSPH; TPI1; TUFM; ESR1; IL3; MT2A; CCS; HDAC1; HDAC4; MPG; SEMG1; SOD1; HDAC8; SIVA1; GLRA1; MDM2; INS; UTRN; ASPA; S100A8; S100A9; MMP9; TP73; S100A2; TP53; MT3; PDCD6; DAND5; MT1A; A1BG; A2M; AGT; AHSG; APCS; APOA1; APOA2; APOA4; APOBR; APOE; APOL1; C1QB; C1QC; C1R; C1S; C3; C4B; C4BPA; C4BPB; C5; BRCC3; C8A; C8B; C8G; CFB; CFH; CFI; CLU; CP; CPN1; CPN2; DCD; DSP; F12; F13B; F2; FCN3; FGA; FN1; GSN; HBA1; HBB; HPR; HRNR; IGFALS; IGHA1; IGHM; IGKV1-17; ; IGLV3-21; ITIH1; ITIH2; ITIH3; ITIH4; JCHAIN; JUP; KLKB1; KNG1; KRT1; KRT10; KRT14; KRT16; KRT2; KRT5; KRT6A; KRT9; ORM2; PGLYRP2; PON1; PZP; S100A7; SEPP1; SERPINA1; SERPINA3; SERPINA4; SERPINA6; SERPIND1; SHBG; TF; TTR; VTN; APLP1; APLP2; APP; PARP1
56-47-3	DB06780	NR3C2
56-53-1	DB00255	ESR1; ESRRG; ESR2; ESRRA; ESRRB; NCOA2; NR1I2; AR; SHBG
5617-32-3	DB03394	CBR1
564475-13-4	DB08027	gag-pol
564482-79-7	DB07754	FOLH1
565451-13-0	DB08902	pagA
56575-23-6	DB14011	CNR1; CNR2; GPR12; GLRA1; GLRA1; GLRB; GLRA3; GPR18; GPR55; HTR1A; HTR2A; CHRNA7; OPRD1; OPRM1; PPARG; TRPV1; CACNA1G; CACNA1H; CACNA1I; TRPA1; TRPM8; TRPV2; TRPV3; TRPV4; VDAC1; PTGS1; PTGS2; ACAT1; CYP17A1; HMGCR; GSR; GPX1; IDO1; AANAT; CYP1B1; CYP3A5; CYP2D6; CYP1A2; CYP1A1; CYP3A7; CRYZ; CAT; FAAH; SOD1; NAAA
5658-12-8	DB04028	9
56775-88-3	DB04832	SLC6A4; MAOB; MAOA
56816-60-5	DB02590	9
5696-58-2	DB04693	ksi
57-15-8	DB11386	KCNH2
57072-40-9	DB14526	CYB5A
572924-54-0	DB06233	MTOR
574013-66-4	DB02545	NR1H4
57444-62-9	DB06515	TRPV1
57524-89-7	DB14544	ANXA1; NR3C1; HSD11B2; HSD3B1
57574-09-1	DB04836	SLC6A2; SLC6A4
57680-56-5	DB01901	FGF1; FGFR2
577782-52-6	DB05934	CXCL12
57821-29-1	DB06271	SERPIND1; SERPINC1
57982-77-1	DB06719	LHCGR; GNRHR
58-20-8	DB13943	AR; ESR1; NR3C2
58-95-7	DB14002	SEC14L4; SEC14L3; SEC14L2; NR1I2; PRKCB; ALOX5; PRKCA; DGKA; PPP2CB; PPP2CA
58-98-0	DB03435	EXTL2; GLT6D1; spsA; CMPK1; bgt; galE; B3GAT3; wecB; ABO; galT; pol; B3GAT1; otsA; galE; GYG1
58069-82-2	DB09510	ureB
584-79-2	DB13746	SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; ; CACNG1; CACNG2; CACNG3; CACNG4; CACNG5; CACNG6; CACNG7; CACNG8; CACNA2D1; CACNA2D2; CACNA2D3; CACNA2D4; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1B; CACNA1A; CACNA1E; CACNA1G; CACNA1H; CACNA1I; CACNA1G; CACNA1H; CACNA1I; CACNA1A; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A
585-18-2	DB03937	kdsA; GPI; aroF
58505-81-0	DB14514	ATP1A1
5854-93-3	DB05540	ADSS; ADSSL1; pyrB
58551-69-2	DB00429	PTGER1
58825-13-1	DB02720	PYGM
591-64-0	DB13800	CALM1; CASQ1; CALB2
59322-44-0	DB01768	
59338-93-1	DB01425	DRD2
594-05-8	DB09513	ureB
594839-88-0	DB11644	TTR
5949-44-0	DB13946	AR; ESR1; NR3C2
59721-28-7	DB13729	PRSS1
59734-15-5	DB03484	ANXA5
59973-80-7	DB06246	PDE4D; PDE4C; PDE5A; PDE2A; GSTP1; AKR1B1; AKR1B10
59995-65-2	DB09090	CACNA1S
6004-98-4	DB06787	CHRM1; CHRM2; CHRM3; CHRM4
6008-91-9	DB01675	ACAD8
60205-81-4	DB00332	CHRM1; CHRM2; CHRM3
6033-32-5	DB03412	ansB
604-98-8	DB03699	dapD
606-06-4	DB08690	sdhA; sdhB; sdhC; sdhD; CYC1; MT-CYB; UQCRC1; UQCRC2; UQCRH; UQCRQ; UQCRFS1; UQCR11; UQCRB; UQCR10; pufC; puhA; pufL; pufM; dsbB; petB; petA; petC; pufL; pufM; puhA
6061-13-8	DB04538	
606138-08-3	DB09310	F13B
607723-33-1	DB09198	PPARG
607837-17-2	DB07136	CPB1
60802-29-1	DB01923	ulaD
608141-41-9	DB05676	PDE4
60874-72-8	DB07493	CDK2
61-24-5	DB03313	; pbp1b; pbpA; penA; pbp2a; pbp3
611207-02-4	DB07636	MT-CYB; UQCRFS1; CYC1; UQCRB; UQCR10
612547-11-2	DB05961	SERPING1; SERPINA5; SERPINA1
61337-87-9	DB06678	HRH1; HTR2A; HTR2B; HTR2C; ADRA2A; ADRA2B; ADRA2C
614-86-8	DB01704	CTRB1
615258-40-7	DB06643	TNFSF11
618-41-7	DB03848	NR1H2
6189-71-5	DB03485	LTF; araF
6197-30-4	DB09535	ESR1; ESR2
62-37-3	DB00534	SLC12A1; ALDH5A1
62-73-7	DB11397	TF; BCHE
621-44-3	DB03867	GSR
62182-14-3	DB04084	manA
62561-75-5	DB04713	
62697-73-8	DB02235	PROF; APP; katA
628290-43-7	DB05706	TOP2A
62996-74-1	DB02010	LCK; PIM1; ITK; SYK; MAPKAPK2; GSK3B; CSK; CDK2; PIK3CG; PDPK1; PRKCQ; ZAP70; CHRM1
63-38-7	DB04555	ispF; neuA; cmk; rfbE; ispF; kpsU
630420-16-5	DB11586	
632-20-2	DB03700	nprS
635715-01-4	DB05889	CD22
63598-71-0	DB03594	CA2
636-65-7	DB03091	atpF
63638-91-5	DB13876	MAOA
637334-45-3	DB11988	MS4A1
64-86-8	DB01394	TUBB
640-79-9	DB02123	hdhA
64192-68-3	DB04334	AOC3; tynA; 
643-13-0	DB04493	FBP1; PFKFB1; pfkA; PFKFB4; GPI
64425-90-7	DB01401	PTGS1; PTGS2
64452-96-6	DB14529	CYB5A
6453-60-7	DB04672	NT5M
64839-32-3	DB03296	
651-06-9	DB06821	folP
652-67-5	DB09401	BCL2; BCL2L1; MCL1
652162-77-1	DB08521	MAPK14; MAPK1
65277-42-1	DB01026	ERG11; AR; CYP17A1; CYP21A2; KCNH2; NR1I2; NR1I3
6533-00-2	DB09389	PGR; SRD5A1; AR
65358-15-8	DB03763	ntd
65472-88-0	DB00735	SQLE
656247-17-5	DB09079	FLT1; KDR; FLT4; PDGFRA; PDGFRB; FGFR1; FGFR2; FGFR3; FLT3; LCK; LYN; SRC
658084-64-1	DB12731	NAMPT
6600-40-4	DB04185	OTC; GATM
66258-76-2	DB00319	pbp3; penA; pbp2a; pbp1b
66313-36-8	DB02401	; LDHB
66564-14-5	DB08810	HTR1A; HTR2A; HTR4
6665-12-9	DB02571	ansB
667463-62-9	DB03444	GSK3B
66778-36-7	DB01228	SCN5A
667901-13-5	DB12202	EGFR
668270-12-0	DB08882	DPP4
6696-41-9	DB04473	; env; IGHG1; 
6736-03-4	DB01057	BCHE
6742-12-7	DB02281	mtnN; MTAP
67452-97-5	DB00240	NR3C1
