100-02-7	SULT1A1; AMY2B
146-17-8	tmd; roo; ; morB; frp; RPS6KA4; phzG; HAO2; ; fldA; fni; nox; ; ; POR; PPCDC; phzG; gltS; pdxH; ; nfsB; aroC; fadH; pyrDA; BLVRB; HAO1; PNPO; ; RFK; nfsA; NOS1; pyrD; DPYD; DHODH; onr; azoR; epiD; azoR; aroC; isiB; ; isiB; ; moxC; ; nrdI; ecdB; mdlB; azr; fldA; SGK1; nfsB; fprA; fni
146-22-5	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRG1; GABRG2; GABRG3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRQ; SCN1A
146-48-5	ADRA2A; ADRA2B; ADRA2C; HTR1A; HTR1B; HTR1D; DRD2; DRD3; HTR2A; HTR2C; KCNJ1; KCNJ10; KCNJ11; KCNJ12; KCNJ14; KCNJ15; KCNJ8; HTR2B
146-54-3	DRD1; DRD2; HTR2B; CHRM1; CHRM2
146-78-1	deoD
146-91-8	ADSSL1; fusA; TUFM; der; gmm; engB; EIF2S3; GNAI1; ffh; GNAT1; tufB; RAB9A; NME1; RHEB; CDC42; tufA; ARF1; EEF2; relA; RAP2A; EFTUD1; ARL1; RAN; RAB7A; IRGC; GSPT1; RAB5A; HRAS; EEF1A1; RHOA; ARF4; TGM2; GMDS; RAB11A; RALA; purA; tuf; ARL5B; ftsZ; TGM3; rab6; RAB8B; ARF6; ARL3; NME2; gmd; RAC1; rsgA; SAR1B; Adss; ARL5A
146086-80-8	TPI1
14636-12-5	AVPR2; AVPR1B; AVPR1A
146426-40-6	CDK2; CDK5; CDK9; CDK1; CDK6; EGFR; CDK4; CDK8; CDK7; PYGM; PYGB; PYGL
146464-95-1	DHFR; TYMS
146623-69-0	AGTR1
146663-95-8	PRSS1
1468-26-4	uao
146939-27-7	DRD2; DRD1; DRD5; HTR2A; DRD3; DRD4; HTR1A; HTR1B; HTR1D; HTR1E; HTR2C; HTR6; HTR7; HRH1; ADRA1A; ADRA1B; ADRA2A; ADRA2B; ADRA2C; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR5A
146986-50-7	PRKACA; PKIA; ROCK1; ROCK2
147-20-6	HRH1; SLC6A3
147-52-4	pbp1b; penA; pbp2a; pbp3; pbpA
147-85-3	P4HA2; PRODH; PPIH; PROSC; P4HA1; PPIB; PPIF; PPIC; PPIA; PPIG; P3H1; P5CR2; PARS2; P3H2; P3H3; PYCRL; L3HYPDH; PYCR1; EPRS; SLC6A14; SLC6A7; PYCR2
147-94-4	POLB
147059-72-1	gyrA; parC; TOP2A
147084-10-4	HRH1
147254-64-6	AKR1B1
147511-69-1	HMGCR; ITGAL
147536-97-8	EDNRA; EDNRB
14769-73-4	CHRNA3; ALPPL2; unc-38; unc-63; lev-1; unc-29
1477-40-3	OPRM1; CHRNB4; CHRNA3
14797-73-0	arsC
148-79-8	frdA
148016-81-3	mrcA; mrcB; mrdA; pbpB; pbp4
14838-15-4	DRD1; ADRB1; ADRB2; ADRA2A; ADRA2B; ADRA2C
148553-50-8	CACNA2D1
149-32-6	metE
1491-59-4	ADRA1A; ADRA2A; ADRA2C; ADRA2B; ADRA1B; ADRA1D
149503-79-7	ITGA2B; ITGB3
149647-78-9	HDAC1; HDAC2; HDAC3; HDAC6; HDAC8; acuC1
149709-62-6	MME
149908-53-2	KCNE1; KCNQ1; KCNH2
149950-60-7	gag-pol
150-13-0	pobA; pobA
150-25-4	glf; PLG; mltB
150-59-4	HTR1A
150-97-0	mvaA
150145-89-4	GRM1
150378-17-9	pol
15078-28-1	NPR1
1508-75-4	CHRM4; CHRM1; CHRM2; CHRM3
150812-12-7	KCNQ2; KCNQ3; KCNQ4; KCNQ5
150915-41-6	HTR2A; DRD2; HTR1A; HRH1; DRD4; ADRA1A; ADRA1B; ADRA1D
151-41-7	LYZ; pagP
151-67-7	KCNK3; KCNK9; KCNMA1; GRIN3A; GRIN3B; GRIN2A; GLRA1; RHO; KCNJ6; KCNJ3; MT-ND1; KCNN4; ATP5D; ATP2C1; GABRA1; GNG2; NPSR1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
151-83-7	GABRA1
151096-09-2	parC; gyrA; TOP2A
151319-34-5	GABRA1; TSPO
15139-21-6	arsC; IL12B
1517-69-7	radh
15181-43-8	PYGM
152-02-3	OPRM1
152-43-2	ESR1
152-47-6	
152-62-5	PGR
152-72-7	VKORC1
152044-54-7	TUBA3C; TUBB; TUBB1; TUBB4B; TUBB4A; TUBA4A; TUBB3; TUBA1C; TUBA8; TUBA1B; TUBA1A
15209-14-0	azu
1524-88-5	NR3C1
152459-95-5	BCR; KIT; RET; NTRK1; CSF1R; PDGFRA; DDR1; ABL1; PDGFRB
152811-62-6	HTR4
152918-18-8	ADORA3
153-18-4	AKR1C3; CBR1
153-61-7	; pbpA; pbp1b; pbp3; pbp2a; penA; pbpA; ampC
153-94-6	DAO
15301-69-6	CHRM2; CHRM1
15307-86-5	PTGS2; PTGS1
153168-05-9	
15318-45-3	draA
153205-46-0	OPRK1
153259-65-5	PDE4D; PDE4B
153559-49-0	RXRA; RXRB; RXRG
153559-76-3	RXRB
153832-46-3	mrdA; mrdA; ftsI; ftsI; dacB; mrcA; mrcB; dacC
154-21-2	rplJ
154-93-8	GSR
15400-53-0	folB
154039-60-8	MMP1; MMP2; MMP3; MMP7; MMP8; MMP9; MMP10; MMP11; MMP12; MMP13; MMP14; MMP15; MMP16; MMP17; MMP19; MMP20; MMP21; MMP23A; MMP24; MMP25; MMP26; MMP27; MMP28
15421-84-8	PDGFRB; PDE1A; PDE1B; PDE1C; PDE10A; PDE4A; PDE4B; PDE4C; PDE4D; PDE7B; PDE2A; PDE3A; PDE3B; PDE5A; PDE6C; PDE11A; PDE7A; PDE8A; PDE8B; PDE9A; PDE6A; PDE6B
154229-19-3	CYP17A1
154323-57-6	HTR1B; HTR1D
154361-50-9	TYMS
154447-36-6	PIM1; PIK3CG
154598-52-4	pol
155-09-9	MAOB; MAOA
155-41-9	CHRM1; CHRM2; CHRM3
155-84-0	cs1
155-97-5	ACHE; BCHE; ALB
155206-00-1	PTGFR; PTGER1; PTGER3
155213-67-5	pol; NR1I2
155270-99-8	ADORA2A; ADORA1
155974-00-8	HCN2
156-06-9	pdh; HAO1; ipdC; ; bacB; pheA
156-08-1	SLC18A2; ADRA2A; ADRA1A; SLC6A3
156-39-8	F2; MIF; tyrA
156-62-7	ALDH3B2
156-74-1	CHRNA2; ACHE; CHRNA4; CHRNB2
156053-89-3	OPRM1; OPRK1; OPRD1
15663-27-1	MPG; A2M; TF; ATOX1
15676-16-1	DRD2; DRD3; CA2; CA3
15686-51-8	HRH1
15686-71-2	pbp3; pbp2a; pbp1b; penA; pbpA
15687-27-1	PTGS2; PTGS1; BCL2; THBD; FABP2; PPARG; CFTR; PPARA; GP1BA; S100A7
156897-06-2	PLA2G2E; PTGS2; ALOX5
157-06-2	CKM
15722-48-2	TPMT; IFNG
157283-68-6	PTGFR
157296-99-6	cslA; 
158382-37-7	GSTP1
158440-71-2	FUBP1
158747-02-5	HTR1D; HTR1B
158876-82-5	PTAFR; HRH1
158966-92-8	CYSLTR1; ALOX5
159351-69-6	MTOR
159989-64-7	HIV-1 protease
16037-91-5	TOP1
160470-73-5	pepP
16051-77-7	GUCY1A2
16060-65-4	CFB
160707-69-7	pol
16088-60-1	linB
160970-54-7	ADRA1A; ADRA1B; ADRA1D
16110-51-3	KCNMA1; S100P
161401-82-7	CASP1
161417-03-4	CHRNA4; CHRNB2
161814-49-9	pol
161832-65-1	GRIA1; GRIA2; GRIA3; GRIA4
162011-90-7	PTGS2; ELN
1622-61-3	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; TSPO; NR1I2
1622-62-4	TSPO; GABRA2; GABRA4; GABRA5; GABRA6; GABRA3; GABRA1; GABRB3; GABRG2
1623-14-9	opd; BCHE
162359-55-9	S1PR5; HDAC1; S1PR1; S1PR4; S1PR3
162401-32-3	PDE4D; PDE4A; PDE4B; PDE4C
162635-04-3	MTOR
162808-62-0	fksA
16320-04-0	SHBG; PGR; NR3C1; AR; GNRHR; ESR1
163222-33-1	NPC1L1; SOAT1; ANPEP
163435-77-6	gag-pol; gag-pol
163451-81-8	DHODH
16354-58-8	F13A1
1637-75-8	KYNU
163706-06-7	P2RY12
1643-20-5	fecA; fadL; pagP; MAOB; tesB; pufL; pufM; puhA; ctaDII; ctaC; ; IGHV3-23; pufC; puhA; pufL; pufM; puhA; DSTN; RHO; cycA; NFE2L1; shc; btuB; ceaC; fptA; PMP2; ompW; ; ; tonB; cirA; cia; CFL1; glpG; ompG; papC; nanC; puhA; pufL; pufM; porB; ; amtB; pbp2; DHODH; traO; traF; traN; 
164650-44-6	ERG11
164656-23-9	SRD5A2; SRD5A1
164931-25-3	NMT1
16590-41-3	OPRD1; OPRM1; OPRK1; SIGMAR1
166663-25-8	fksA
16674-78-5	GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B
16679-58-6	AVPR2; AVPR1A; AVPR1B
1668-19-5	HRH1; HRH2; SLC6A2; SLC6A4; HTR2A; HTR2B; HTR2C; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; ADRA1A; ADRA1B; ADRA1D; HTR1A; HTR6; HRH4; KCNH2
167221-71-8	CACNA1F; CACNA1S; CACNA1D; CACNA1C
167305-00-2	ACE; MME
167933-07-5	HTR1A; HTR2A; DRD4
168273-06-1	CNR1; GPR55
16846-24-5	rplD
168682-53-9	GSTP1
169105-89-9	bglA; celA1; cel5A
1695-77-8	rpsL
169590-42-5	PTGS2; PDPK1; CA2; CA3; CDH11
16974-53-1	CHRNA2; CHRM2; CHRM3
17021-26-0	AR
170729-80-3	TACR1
171228-49-2	ERG11
171596-29-5	PDE5A; PDE11A
171655-91-7	DRD2
171714-84-4	EDNRA
17181-54-3	TPI
17230-88-5	ESR1; AR; PGR; GNRHR; GNRHR2; CCL2
17243-38-8	pbp2a; pbp1b; pbp3; pbpA; penA
172733-08-3	PLA2G2A; PLA2G10
1731-84-6	LCN2; IGHG1
173334-57-1	REN
17397-89-6	fabB; fabF; fabH; FASN
174022-42-5	gag-pol
174391-92-5	gag-pol
1744-22-5	SCN5A; SLC7A11
174484-41-4	pol
1745-81-9	E
174671-46-6	CDC60
17499-98-8	; fmoA
175033-36-0	PTGS1
17511-89-6	DPP4
175354-76-4	DHFR
175463-14-6	parC; gyrA
175481-36-4	SCN9A; SCN3A; SCN10A
175591-23-8	OPRM1; SLC6A2; OPRK1; OPRD1; HTR3A; SLC6A4
17560-51-9	SLC12A3
17598-65-1	ATP1A1
17617-23-1	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRG1; GABRG2; GABRG3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRQ
17650-98-5	CCKAR
177036-94-1	EDNRA; EDNRB
17780-72-2	MAOA
17784-12-2	folP
1779-81-3	NOS3
178040-94-3	gag-pol
1783-84-2	PTGS1; PTGS2
1783-96-6	nprS; ansB
178870-32-1	gag-pol
178979-85-6	gag-pol
179324-69-7	PSMB5; PSMB1
179474-81-8	HTR4
17989-41-2	PFKFB1; ALDOB; pdxJ; TPI
18016-80-3	DRD2; DRD3; DRD4; DRD1; DRD5; HTR1A; HTR1D; HTR2B; HTR2A; HTR2C; HTR1B; ADRA2A; ADRA2B; ADRA2C; HTR7
180509-15-3	FAAH
180916-16-9	ESR1; ESR2; CNR2
1812-30-2	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRG1; GABRG2; GABRG3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRQ
181695-72-7	PTGS2; CA2; CA3
1821-12-1	tyrB; npr
182431-12-5	MTTP
182821-27-8	MME
183133-96-2	TUBA4A; TUBB1
18323-44-9	rplA
183321-74-6	EGFR; NR1I2
183854-11-7	gag-pol
183854-21-9	gag-pol
184036-34-8	EDNRA; EDNRB
1841-19-6	DRD2; HTR2A; CACNG1
184475-35-2	EGFR
185220-03-5	gag-pol
185517-21-9	S100B
18559-94-9	ADRB2; ADRB1; ADRB3
185955-34-4	TLR4
186538-00-1	gag-pol
186691-13-4	CHRM3; CHRM1; CHRM2; CHRM4; CHRM5
187164-19-8	ERG11
187227-45-8	NA
187235-37-6	fas; efpA; lsr2; cydC; ; cydA; cydB; inhA
18883-66-4	SLC2A2; ; MGEA5
18917-89-0	PTGS2; PTGS1
1892-29-1	GSTA1; E
189279-58-1	parC; gyrA
1893-33-0	DRD2; HTR2A; ADRA1A; ADRA1B; ADRA1D; DRD4; DRD1; DRD3; HTR2B; ADRA2A
189453-10-9	TUBA3C; TUBB; TUBB1; TUBB4B; TUBB4A; TUBA4A; TUBB3; TUBA1C; TUBA8; TUBA1B; TUBA1A
189691-06-3	MC1R; MC4R; MC3R; MC5R; MC2R
189954-96-9	PTGS2
190079-18-6	dxr; pdxJ
1912-24-9	pufC; puhA; pufL; pufM
19130-96-2	MAN1B1; MSDC; xylA; bglA; cgt
19171-19-8	CRBN; TNF; PTGS2
191732-72-6	CRBN; TNFSF11; CDH5; PTGS2
19216-56-9	ADRA1A; ADRA1B; ADRA1D; KCNH2; ADRA2A; ADRA2B; ADRA1A; ADRA1B; ADRA1D
192185-72-1	FNTB
1927-31-7	; POLB; nrdE; NRDD; recA; recA
192725-17-0	pol
192755-52-5	CASP1
192820-78-3	NQO1
192939-46-1	F2
193022-04-7	MMP13
19342-33-7	nedA; ; HN; tetX
19356-17-3	VDR
19410-53-8	folB
194423-15-9	SRC; EGFR
1948-33-0	HA; HA
1948-56-7	mrsA
1951-25-3	KCNH2; KCNH6; KCNH7; ADRB1; ADRB2; ADRB3; CACNA1I; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; THRA; THRB; PPARG; PPARA; PPARGC1B
19545-26-7	PIK3CG; PLK1; PIK3R1; PIK3CA
196597-26-9	MTNR1A; MTNR1B
196618-13-0	NA; NEU1; NEU2
1972-08-3	CNR1; CNR2
1977-10-2	DRD2; DRD1; HTR2A; HTR2C; HTR1A; HTR1B; HTR1D; HTR1E; HTR3A; HTR5A; HTR6; HTR7; ADRA1A; ADRA1B; ADRA2A; ADRA2B; ADRA2C; ADRB1; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; DRD1; DRD5; DRD3; DRD4; DRD5; HRH1; HRH2; HRH4; SLC6A4; SLC6A2; SLC6A3
19794-93-5	HTR2A; HTR2C; SLC6A4; HTR1A; HRH1; ADRA1A; ADRA2A; Htr2c
1982-37-2	HRH1
198470-84-7	PTGS2; LTF
198481-32-2	ESR1; ESR2
1986-14-7	algQ1; algQ2
198821-22-6	guaB
198904-31-3	pol
199796-52-6	BCL2
19982-08-2	HTR3A; CHRNA7; DRD2; GRIN1; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GLRA1; GLRA2; GLRA3; GLRA4; GLRB
2004-03-7	deoD
2007-07-0	
20108-30-9	YWHAE
2013-58-3	rpsG
201341-05-1	pol; P
201410-53-9	CYP26A1
202189-78-4	HRH1
2022-85-7	DNMT1; TMP1
202409-33-4	PTGS2
20256-56-8	cmaA2
20283-21-0	sdsA1
2030-63-9	; ABCB11
2038-03-1	CTSD
2038-57-5	PRSS2; PRSS1
203923-89-1	TOP1
204512-90-3	ADORA1
204697-65-4	CALCA; CALCRL
20537-88-6	ALPPL2; ENPP1
20559-55-1	TUBB4B
20594-83-6	OPRK1; OPRM1; OPRD1
2062-78-4	DRD2; DRD3; KCNH2; CALM1
206361-99-1	pol
206884-98-2	XDH
2078-54-8	GABRB2; GABRB3; SCN4A; SCN2A; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
20830-75-5	ATP1A1
20830-81-3	TOP2A; TOP2B
2086-83-1	qacR; BIRC5
209342-40-5	gyrA; parC; TOP2A
209410-46-8	MAPK14
209467-52-7	mecA; pbpX; ftsI
209733-45-9	BDKRB2
210101-16-9	AVPR1A; AVPR2
2107-70-2	tyrB
211110-63-3	; THRB
21187-98-4	ABCC8; VEGFA
211915-06-9	F2
212141-54-3	FLT1; KDR; FLT4
21256-18-8	PTGS1; PTGS2
212779-48-1	CSNK1G1; MERTK
212844-53-6	SRC; CSNK1G3; RPS6KA1
21340-02-3	argB; GNAI1; ATP2A1; GNAT1; CMPK1; MYH11; MYH14; recA; rbsK
2135-17-3	NR3C1
21411-53-0	vatD
2149-70-4	NOS3; NOS1
21500-98-1	GRIN3A; GRIN3B; GRIN2A; GRIN2C; GRIN2B; GRIN2D; CHRNA7
21593-23-7	pbpA
216167-82-7	VCAM1
21679-14-1	RRM1; POLA1; DCK
21820-51-9	HCK; SRC; KIT
21829-25-4	CACNA1C; NR1I2; CALM1; CACNA1D; CACNA1S; CACNB2; KCND3; CACNA1G; CACNA1H; CACNA1I
2190-95-6	MAOA
21919-05-1	nfsB; NQO2
2197-57-1	frdA; frdB; frdC
219810-59-0	GRIN3A
219989-84-1	TUBB3
2201-39-0	GRIN3A; DRD2
220402-83-5	CA2
22059-21-8	acdS
220620-09-7	rpsI; rpsL; rpsM; rpsN; rpsS
22071-15-4	PTGS1; PTGS2; CXCR1
220991-20-8	PTGS2; PTGS1
22131-79-9	PTGS2
2216-51-5	TRPM8; TRPA1; TRPV3; OPRK1; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A
22161-81-5	PTGS1; PTGS2
22204-53-1	PTGS1; pab; PTGS2
22232-54-8	TPO
22232-71-9	SLC6A2; SLC6A3; SLC6A4; SLC18A2
2226-71-3	coaD; coaD; coaD
2227-98-7	APRT
22316-47-8	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
22345-47-7	PDE4A; PDE10A; PDE3A; PDE2A
22427-39-0	SLCO1B3
224452-66-8	rplC
224785-90-4	PDE5A; PDE6G; PDE6H
22494-42-4	PTGS2; PTGS1
2255-14-3	pgmB
2257-09-2	ACTA2; ACTB; ATP5B; ATP5I; ATP5L; CYB5B; DIABLO; FBXO41; HNRNPF; HNRNPK; HSPA4; HSPB1; HSPE1; HSPH1; MT-ND1; NUDC; PAPPA; PSMA3; PSMC3; RANBP1; S100A10; SF3A3; SMARCE1; SUCLG2; TPD52L2; TPM1; TPM3; TPM4; TUBA1A; TUBA3C; TUBA4A; TUBB1; TUBB2A; TUBB3; TUBB4B; TXN; UCHL1; USP14; VCP; VIM; YWHAB; YWHAE; YWHAH; YWHAQ; YWHAZ
2259-96-3	FXYD2; CA1; CA2; CA4; SFRP4
226256-56-0	CASR
22642-82-6	phzD1
22664-55-7	ADRB2; ADRB1
226700-79-4	pol
2270-20-4	tyrB
2272-11-9	F12
22839-47-0	TRPV1; TAS1R2; TAS1R3
228546-92-7	OPRK1
22862-76-6	RPL10L; RPL13A; RPL23; RPL15; RPL19; RPL23A; RSL24D1; RPL26L1; RPL8; RPL37; RPL3; RPL11; SNU13
22916-47-8	ERG11; NOS3; NOS2; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN4; KCNN1; KCNN2; KCNN3; KCNH2; KCNH6; KCNH7; NR1I2
229305-39-9	TLR2; TLR4; TLR7; TLR9
23031-25-6	ADRB2; ADRB3; ADRB1
23092-17-3	GABRA1; GABRA2; GABRA3; GABRA5; GABRG1; GABRG2; GABRG3; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRP; GABRR1; GABRR2; GABRR3; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
23110-15-8	METAP2
231277-92-2	EGFR; ERBB2
23152-29-6	RPL37
23155-02-4	murA
2321-07-5	
23210-56-2	GRIN1; GRIN2B
23214-92-8	TOP2A; NOLC1
23288-49-5	ABCA1; CES1
232925-18-7	TYMS
2345-56-4	
235114-32-6	fksA
2353-33-5	DNMT1
235784-88-0	def; PDF
23593-75-1	ERG11; KCNN4; NR1I2; HCAR2
236395-14-5	P2RX4
2365-40-4	CDK2
23651-95-8	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; PAH
23674-86-4	NR3C1
2379-57-9	GRIA2
238750-77-1	NPEPPS; LTA4H
23887-31-2	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; TSPO
23918-98-1	AHCY
2398-96-1	ERG1
24027-80-3	DNTT
2420-56-6	
24219-97-4	ADRA2A; HTR2A; HTR2C; HRH1; SLC6A2; SLC6A4; HRH4; HTR1A; ADRA2C; HTR2B; HTR1F; ADRA2B; DRD3; OPRK1; SLC6A3; HTR7; DRD2; HTR6; ADRA1A; ADRA1B; ADRA1D; DRD1; DRD5
242478-37-1	CHRM3; CHRM1; CHRM2; CHRM4; CHRM5
24280-93-1	IMPDH1; IMPDH2
24305-27-9	TRHR
2433-96-7	LIP3
243975-37-3	chiB1; CHIT1
2441-41-0	cyp102A1
2447-57-6	; 
244767-67-7	gag-pol
245116-90-9	AKR1B1
24526-64-5	SLC6A2; SLC6A3; MAOB; MAOA; MPO; SLC6A4; SLC18A2
2454-11-7	HSD11B2
2456-73-7	trpA; trpB
2457-80-9	rsrIM; MTAP
245765-41-7	gyrA; parC
24584-09-6	TOP2A; TOP2B
2465-59-0	XDH
2466-09-3	purA; nadE; tmk; fhuA; ispA; idi
24683-00-9	LCN9
247257-48-3	AGTR1
24815-24-5	ACE
249296-44-4	CHRNA4; CHRNA7; CHRNA3; CHRNA6; CHRNB2
24967-27-9	HN; nedA; NA; HN; NEU2
25046-79-1	KCNJ8
250692-65-0	CYP2B6
25122-46-7	NR3C1; ANXA1; NR3C2
251456-60-7	HDAC8
252920-94-8	ADRB3
2530-97-4	RPL3; NNT; GAPDH; IDH3A; OGDH; MDH2
253128-41-5	BCL2; TUBB1
25451-15-4	GRIN2B; GRIN3A; GRIN2A
25466-36-8	ATP6V1C1
254750-02-2	CASP1; CASP3; CASP7
254753-54-3	KIF11
25546-65-0	; aac; P4HB; rpsL
25614-03-3	DRD2; DRD3; HTR1D; ADRA2A; HTR1A; ADRA2C; ADRA2B; HTR2B; DRD4; HTR2A; HTR1B; HTR2C; DRD5; DRD1; ADRA1A; ADRA1B; ADRA1D; HTR7
25717-80-0	GUCY1A2
25773-40-4	LCN9
25812-30-0	PPARA; SLCO1B1; SLC22A8; SLCO2B1; SLCO1B3
258516-89-1	GABRB2; GABRB3
25905-77-5	MAOA; HTR2B; HTR2A; HTR2C; ACHE; SLC6A4; DRD1; DRD2; CHRM1
2591-86-8	ADH1C
25953-19-9	mrcA; mrcB; pbpC; mrdA; ftsI; PON1; IL15; IL2
259793-96-9	PB1
25990-43-6	CHRM1; CHRM3
2605-79-0	fhuA; DHODH; lytA; PNLIPRP2
2607-06-9	ANXA3; NR3C1
2609-46-3	SCNN1A; SCNN1B; SCNN1G; SCNN1D; AOC1; ASIC2; ASIC1; SLC9A1; PLAU
26093-31-2	ppiA; PPIF; HDAC8
26098-04-4	rpsL
2616-64-0	hasB; B3GAT3; GALE
26171-23-3	PTGS2; PTGS1
26194-89-8	NME1
2622-26-6	DRD1; ADRA2A; ADRA1B; AR
2622-30-2	DRD2; DRD1; DRD5
26239-55-4	def
2624-63-7	UROD
263016-94-0	ispF; ispE; ispD
263016-95-1	ispF
265114-23-6	PTGS2
26615-21-4	DRD1; DRD5; DRD2; HTR2A; HTR6; HTR7; SLC6A2; SLC6A4
26652-09-5	ADRB2
26675-46-7	GABRA1; ATP2C1; GLRA1; GRIA1; KCNA1; ATP5D; CALM1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; CHRNA4; CHRNB2
2668-66-8	NR3C1
267243-28-7	EGFR
26787-78-0	PBP1
26807-65-8	SLC12A3
26833-87-4	rpl2; RPL3
26839-75-8	ADRB1; ADRB2; E
26844-12-2	ADRA1A
269055-15-4	gag-pol; gag-pol
26924-74-3	cefE
269718-84-5	DRD2; DRD3; DRD4; HTR1A
27025-41-8	GSTM2; GSR
271-89-6	E
271576-80-8	MAPK14
27203-92-5	OPRM1; SLC6A2; SLC6A4; HTR2C; OPRK1; OPRD1; CHRNA7; CHRM3; CHRM1; TACR1; SCN2A; TRPV1; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; ADORA1; ADRA2A; ADRA2B; ADRA2C
27220-47-9	ERG11; NR1I2
27262-47-1	SCN10A
272769-49-0	PARP1
27415-09-4	Aaar; menC; menC
27469-53-0	ATP1A1
274693-27-5	P2RY12
274901-16-5	DPP4
2751-09-9	rpmF; rplD; NR1I2
2751-68-0	DRD2; DRD1; AR
27527-05-5	ZFY
2763-96-4	GABRA1; GABRB3; GABRG2
27653-49-2	TYMS
27686-84-6	ALOX5; SHBG
2769-64-4	camC; ; glbN; MB
27848-84-6	ADRA1A
2809-21-4	PTPRS; ATP6V1A
283173-50-2	PARP1; PARP2; PARP3
28395-03-1	SLC12A1; SLC12A2; SLC12A4; SLC12A5; CFTR
284461-73-0	BRAF; RAF1; FLT4; KDR; FLT3; PDGFRB; KIT; FGFR1; RET; FLT1
28523-86-6	GABRA1; GLRA1; GRIA1; KCNA1; ATP2C1; ATP5D; MT-ND1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
285983-48-4	MAPK14
28657-80-9	gyrA
286930-02-7	CHRM3; CHRM4; CHRM1; CHRM2; CHRM5
28721-07-5	SCN1A; SCN10A; SCN11A; SCN2A; SCN3A; SCN4A; SCN5A; SCN7A; SCN8A; SCN9A; SCN1B; SCN2B; SCN3B; SCN4B
28733-43-9	ART1
287714-41-4	HMGCR; ITGAL
28797-61-7	CHRM1
288-13-1	ADH1C; ESR1; ESR2
288-32-4	soxA; cobT; MB; NOS2; AK2; PIM1; idi; otsA; mutY; yerA; MYO1E; DMC1; guaD; xlnA; vhb; moaB; UGI; recR; LTA4H; tesA; GPHN; acpP; fixL; CYCS; kaiB; hisD
28822-58-4	PDE5A; PDE3B; PDE7A; PDE4D; PDE9A; PDE8A; PDE2A; PDE6G
288383-20-0	KDR
28860-95-9	DDC
288628-05-7	CA2; STS
